optimgain,surrgain,Tmt,Tbt,MpbtA,TimestepsSoFar,TimeElapsed,Tmc,AttC,meankl,Ptt,EpisodesSoFar,MtR,TtR,MpbtN,entloss,entropy,AttNC
0.004489223,0.004489223,76.24444444444444,312297.2444444444,43.10990161534716,589990,12065.512769460678,27.8,1.2666666666666666,0.004041565,74.33670106871004,4922,-26.325861231568478,-130.33333333333334,56.89009838465284,0.0,0.30277425,1.7333333333333334
0.0051757265,0.0051757265,76.22222222222223,312206.22222222225,41.94950740331054,599871,12182.715855360031,27.77777777777778,1.5333333333333334,0.005244125,74.34409561991795,4967,-27.008093773158482,-132.66666666666666,58.05049259668946,0.0,0.29591388,1.4666666666666666
0.005321104,0.005321104,76.0,311296.0,43.04677387035775,609923,12303.416602611542,28.02173913043478,1.565217391304348,0.0039523286,74.12290359975424,5013,-26.76479552925874,-129.91304347826087,56.95322612964226,0.0,0.2943061,1.434782608695652
0.0046500396,0.0046500396,77.30434782608695,316638.60869565216,44.25266520520535,619945,12418.064703702927,26.695652173913043,1.1956521739130435,0.0036249813,75.35727597935424,5059,-26.87925870203282,-129.3913043478261,55.74733479479465,0.0,0.29448375,1.8043478260869565
0.005412858,0.005412858,75.0,307200.0,44.93944756424197,629886,12537.183218955994,29.08888888888889,1.3555555555555556,0.0033217946,73.14370233378274,5104,-25.422905021219904,-123.8,55.060552435758005,0.0,0.29455334,1.6444444444444444
0.0042716246,0.0042716246,74.8913043478261,306754.7826086957,46.90695034138935,639977,12650.950688838959,29.130434782608695,1.391304347826087,0.0036418664,73.08573536895236,5150,-24.847509741311367,-119.21739130434783,53.09304965861065,0.0,0.29901582,1.608695652173913
0.0049859183,0.0049859183,74.8913043478261,306754.7826086957,47.9971810193498,649973,12768.623279809952,29.152173913043477,1.4130434782608696,0.0036785183,73.07112046605752,5196,-24.009101569605715,-116.8695652173913,52.0028189806502,0.0,0.28758138,1.5869565217391304
0.0045930063,0.0045930063,76.46666666666667,313207.4666666667,45.87529745244681,659959,12882.283183574677,27.555555555555557,1.1333333333333333,0.003986298,74.55717124835577,5241,-25.499322918219093,-124.4,54.12470254755318,0.0,0.29737714,1.8666666666666667
0.0049167112,0.0049167112,76.65957446808511,313997.6170212766,46.07708502142621,669953,12999.724226474762,27.361702127659573,1.5106382978723405,0.0042196754,74.73886840000827,5288,-25.693071864205827,-124.34042553191489,53.92291497857379,0.0,0.29164845,1.4893617021276595
0.0051432475,0.0051432475,76.06521739130434,311563.1304347826,43.68687053625276,679914,13116.665289402008,27.956521739130434,1.1521739130434783,0.005069037,74.18550994792072,5334,-26.604448409658367,-128.6086956521739,56.313129463747245,0.0,0.29962012,1.8478260869565217
0.0052184113,0.0052184113,76.6,313753.6,46.899939148702174,689873,13230.880621910095,27.42222222222222,1.6888888888888889,0.004040435,74.68369280277479,5379,-24.824090594975196,-122.2,53.100060851297826,0.0,0.3208449,1.3111111111111111
0.004757425,0.004757425,76.4,312934.4,42.09016287635019,699781,13344.257199525833,27.622222222222224,1.511111111111111,0.0034339174,74.49732335844571,5424,-27.033001935529157,-132.86666666666667,57.90983712364981,0.0,0.33138606,1.488888888888889
0.0050286264,0.0050286264,75.68888888888888,310021.68888888886,43.17064073355061,709860,13459.466022729874,28.377777777777776,1.6666666666666667,0.0045771007,73.80157512381842,5469,-26.175262131431282,-128.8,56.82935926644938,0.0,0.32247308,1.3333333333333333
