EpisodesSoFar,TimestepsSoFar,AttC,TtR,TimeElapsed,surrgain,AttNC,entropy,MtR,meankl,entloss,Fce,optimgain
13558,3239788,0.0,2500.0,35674.80258870125,0.000113401125,10.0,-0.46078476,142.8784238871937,0.010174781,0.0,1.0,0.000113401125
13598,3249788,0.0,2500.0,35774.63624191284,0.00018839519,10.0,-0.55837804,142.8784238871937,0.010174863,0.0,1.0,0.00018839519
13638,3259788,0.0,2500.0,35874.86209774017,0.00045868446,10.0,-0.65596914,142.8784238871937,0.010174781,0.0,1.0,0.00045868446
13678,3269788,0.0,2500.0,35969.32351231575,3.6490706e-05,10.0,-0.75354654,142.8784238871937,0.010174751,0.0,1.0,3.6490706e-05
13718,3279788,0.0,2500.0,36065.10305023193,0.00028261307,10.0,-0.6559682,142.8784238871937,0.008933077,0.0,1.0,0.00028261307
13758,3289788,0.0,2500.0,36161.079144477844,0.0006522542,10.0,-0.55837804,142.8784238871937,0.008933204,0.0,1.0,0.0006522542
13798,3299788,0.0,2500.0,36255.80242609978,3.8814545e-07,10.0,-0.5827701,142.8784238871937,0.00060510635,0.0,1.0,3.8814545e-07
13838,3309788,0.0,2500.0,36349.822957992554,0.0002490007,10.0,-0.4851783,142.8784238871937,0.008933196,0.0,1.0,0.0002490007
13878,3319788,0.0,2500.0,36448.03854370117,0.0001255208,10.0,-0.38759148,142.8784238871937,0.008933204,0.0,1.0,0.0001255208
13918,3329788,0.0,2500.0,36538.50851035118,0.000293528,10.0,-0.29000425,142.8784238871937,0.008933204,0.0,1.0,0.000293528
13958,3339788,0.0,2500.0,36633.120240688324,0.00041862862,10.0,-0.38759148,142.8784238871937,0.01017476,0.0,1.0,0.00041862862
13998,3349788,0.0,2500.0,36726.35012435913,0.00017260089,10.0,-0.4851781,142.8784238871937,0.01017476,0.0,1.0,0.00017260089
14038,3359788,0.0,2500.0,36817.98720407486,5.192375e-07,10.0,-0.4729835,142.8784238871937,0.0001475811,0.0,1.0,5.192375e-07
14078,3369788,0.0,2500.0,36911.46567893028,0.00018930988,10.0,-0.37539423,142.8784238871937,0.008933204,0.0,1.0,0.00018930988
14118,3379788,0.0,2500.0,37005.13966488838,0.0010635132,10.0,-0.27780175,142.8784238871937,0.008933196,0.0,1.0,0.0010635132
14158,3389788,0.0,2500.0,37096.77814412117,0.00023853258,10.0,-0.37539586,142.8784238871937,0.010174863,0.0,1.0,0.00023853258
14198,3399788,0.0,2500.0,37187.83945631981,0.00019847676,10.0,-0.4729839,142.8784238871937,0.010174781,0.0,1.0,0.00019847676
14238,3409788,0.0,2500.0,37282.382895708084,0.0001739127,10.0,-0.3753959,142.8784238871937,0.008933196,0.0,1.0,0.0001739127
14278,3419788,0.0,2500.0,37375.648520708084,0.00015338828,10.0,-0.27780238,142.8784238871937,0.008933102,0.0,1.0,0.00015338828
14318,3429788,0.0,2500.0,37466.774806022644,0.00029071048,10.0,-0.18022287,142.8784238871937,0.008931602,0.0,1.0,0.00029071048
14358,3439788,0.0,2500.0,37562.04437303543,7.134649e-05,10.0,-0.082633965,142.8784238871937,0.008933102,0.0,1.0,7.134649e-05
14398,3449788,0.0,2500.0,37648.542729616165,0.0001316835,10.0,-0.18022294,142.8784238871937,0.010174871,0.0,1.0,0.0001316835
14438,3459788,0.0,2500.0,37746.363450050354,0.00051682984,10.0,-0.082634024,142.8784238871937,0.008933196,0.0,1.0,0.00051682984
14478,3469788,0.0,2500.0,37842.72513842583,1.7985916e-06,10.0,-0.10703222,142.8784238871937,0.00060498714,0.0,1.0,1.7985916e-06
14518,3479788,0.0,2500.0,37939.411413908005,0.00033443634,10.0,-0.009441505,142.8784238871937,0.008933204,0.0,1.0,0.00033443634
14558,3489788,0.0,2500.0,38035.09069633484,0.0005282713,10.0,0.08814914,142.8784238871937,0.008933196,0.0,1.0,0.0005282713
14598,3499788,0.0,2500.0,38133.83291339874,0.0002400095,10.0,-0.009441376,142.8784238871937,0.01017476,0.0,1.0,0.0002400095
14638,3509788,0.0,2500.0,38235.693960905075,0.00011352932,10.0,-0.10703209,142.8784238871937,0.010174781,0.0,1.0,0.00011352932
14678,3519788,0.0,2500.0,38332.111191511154,0.0002514533,10.0,-0.20462075,142.8784238871937,0.010174871,0.0,1.0,0.0002514533
14718,3529788,0.0,2500.0,38438.00747823715,0.00044192292,10.0,-0.30221245,142.8784238871937,0.010174863,0.0,1.0,0.00044192292
14758,3539788,0.0,2500.0,38528.23613071442,0.00038857062,10.0,-0.20462047,142.8784238871937,0.008933204,0.0,1.0,0.00038857062
14798,3549788,0.0,2500.0,38640.679555892944,0.0006394317,10.0,-0.10703222,142.8784238871937,0.008933204,0.0,1.0,0.0006394317
14838,3559788,0.0,2500.0,38726.43286728859,0.00014816051,10.0,-0.20462066,142.8784238871937,0.010174781,0.0,1.0,0.00014816051
14878,3569788,0.0,2500.0,38826.946318626404,6.281151e-05,10.0,-0.30221245,142.8784238871937,0.010174781,0.0,1.0,6.281151e-05
14918,3579788,0.0,2500.0,38915.43980002403,0.0003196579,10.0,-0.20462066,142.8784238871937,0.008933196,0.0,1.0,0.0003196579
14958,3589788,0.0,2500.0,39021.92536401749,0.00030481114,10.0,-0.30221245,142.8784238871937,0.010174863,0.0,1.0,0.00030481114
14998,3599788,0.0,2500.0,39110.26626777649,0.0002834265,10.0,-0.39980122,142.8784238871937,0.010174781,0.0,1.0,0.0002834265
15038,3609788,0.0,2500.0,39213.41145658493,1.2540627e-06,10.0,-0.41199884,142.8784238871937,0.00015002489,0.0,1.0,1.2540627e-06
15078,3619788,0.0,2500.0,39304.82360672951,0.00032566828,10.0,-0.50956166,142.8784238871937,0.010169506,0.0,1.0,0.00032566828
15118,3629788,0.0,2500.0,39400.70277047157,0.00028320117,10.0,-0.41197595,142.8784238871937,0.008933196,0.0,1.0,0.00028320117
15158,3639788,0.0,2500.0,39502.63666129112,0.00046923955,10.0,-0.5095617,142.8784238871937,0.010174871,0.0,1.0,0.00046923955
15198,3649788,0.0,2500.0,39591.513273239136,0.0006735048,10.0,-0.60715353,142.8784238871937,0.01017476,0.0,1.0,0.0006735048
15238,3659788,0.0,2500.0,39692.05302095413,0.00020338227,10.0,-0.5095618,142.8784238871937,0.008933102,0.0,1.0,0.00020338227
15278,3669788,0.0,2500.0,39780.019343853,0.00012538974,10.0,-0.41197747,142.8784238871937,0.008933416,0.0,1.0,0.00012538974
15318,3679788,0.0,2500.0,39874.61285352707,2.6241798e-05,10.0,-0.5095617,142.8784238871937,0.010174781,0.0,1.0,2.6241798e-05
15358,3689788,0.0,2500.0,39967.98632979393,8.146261e-05,10.0,-0.41197595,142.8784238871937,0.008933204,0.0,1.0,8.146261e-05
15398,3699788,0.0,2500.0,40068.83961606026,0.00036428325,10.0,-0.3143882,142.8784238871937,0.008933416,0.0,1.0,0.00036428325
15438,3709788,0.0,2500.0,40154.40853691101,3.1354826e-05,10.0,-0.4119759,142.8784238871937,0.010174781,0.0,1.0,3.1354826e-05
15478,3719788,0.0,2500.0,40252.8679189682,0.0003659617,10.0,-0.5095613,142.8784238871937,0.010174781,0.0,1.0,0.0003659617
15518,3729788,0.0,2500.0,40344.107469558716,0.00012774368,10.0,-0.6071534,142.8784238871937,0.010174781,0.0,1.0,0.00012774368
15558,3739788,0.0,2500.0,40433.556876420975,7.9773716e-05,10.0,-0.704745,142.8784238871937,0.010174871,0.0,1.0,7.9773716e-05
15598,3749788,0.0,2500.0,40526.37229132652,2.9051094e-05,10.0,-0.80233175,142.8784238871937,0.01017476,0.0,1.0,2.9051094e-05
15638,3759788,0.0,2500.0,40618.515855550766,0.00016226782,10.0,-0.704745,142.8784238871937,0.008933204,0.0,1.0,0.00016226782
15678,3769788,0.0,2500.0,40711.237953186035,0.0003508532,10.0,-0.60715336,142.8784238871937,0.008933204,0.0,1.0,0.0003508532
15718,3779788,0.0,2500.0,40802.92829537392,0.00018651514,10.0,-0.5095613,142.8784238871937,0.008933204,0.0,1.0,0.00018651514
15758,3789788,0.0,2500.0,40899.328518390656,0.00050461496,10.0,-0.4119759,142.8784238871937,0.008933102,0.0,1.0,0.00050461496
15798,3799788,0.0,2500.0,40989.79219150543,0.0005382633,10.0,-0.3143882,142.8784238871937,0.008933196,0.0,1.0,0.0005382633
15838,3809788,0.0,2500.0,41097.521750450134,0.00033647905,10.0,-0.2167965,142.8784238871937,0.008933204,0.0,1.0,0.00033647905
15878,3819788,0.0,2500.0,41190.59453415871,0.0008578149,10.0,-0.31438816,142.8784238871937,0.010174863,0.0,1.0,0.0008578149
15918,3829788,0.0,2500.0,41290.67649960518,0.0005978321,10.0,-0.21679652,142.8784238871937,0.008933102,0.0,1.0,0.0005978321
15958,3839788,0.0,2500.0,41381.24181962013,0.00045644256,10.0,-0.11920427,142.8784238871937,0.008933204,0.0,1.0,0.00045644256
15998,3849788,0.0,2500.0,41483.0378639698,0.00032600068,10.0,-0.2167965,142.8784238871937,0.010174751,0.0,1.0,0.00032600068
16038,3859788,0.0,2500.0,41570.64240193367,0.0006268391,10.0,-0.31438813,142.8784238871937,0.010174781,0.0,1.0,0.0006268391
16078,3869788,0.0,2500.0,41676.473368406296,0.00019430685,10.0,-0.41197577,142.8784238871937,0.010174751,0.0,1.0,0.00019430685
16118,3879788,0.0,2500.0,41767.51474094391,0.00032371902,10.0,-0.31438813,142.8784238871937,0.008933204,0.0,1.0,0.00032371902
16158,3889788,0.0,2500.0,41868.55435395241,0.00019695325,10.0,-0.21679576,142.8784238871937,0.008933204,0.0,1.0,0.00019695325
16198,3899788,0.0,2500.0,41962.89099597931,0.00036790315,10.0,-0.3143881,142.8784238871937,0.010174781,0.0,1.0,0.00036790315
16238,3909788,0.0,2500.0,42058.03724908829,0.00013138508,10.0,-0.41197577,142.8784238871937,0.01017476,0.0,1.0,0.00013138508
16278,3919788,0.0,2500.0,42154.47568655014,0.0002041402,10.0,-0.50956124,142.8784238871937,0.01017476,0.0,1.0,0.0002041402
16318,3929788,0.0,2500.0,42255.079644203186,0.00033156204,10.0,-0.60714924,142.8784238871937,0.01017476,0.0,1.0,0.00033156204
