meankl,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,TimeElapsed,MtR,entloss,optimgain,Fce,AttC,AttNC,TtR
0.005348654,0.41930035,0.0011715458,15395,3729975,18564.383318185806,136.55297162769114,0.0,0.0011715458,0.9549268292682925,0.24390243902439024,9.75609756097561,2387.317073170732
0.004651901,0.38909993,0.0008440711,15435,3739975,18608.43900322914,139.56723146792982,0.0,0.0008440711,0.9766999999999999,0.0,10.0,2441.75
0.0048079696,0.3784479,0.0007522823,15475,3749975,18652.215095996857,139.62094043410625,0.0,0.0007522823,0.9774999999999998,0.0,10.0,2443.75
0.003911255,0.372647,0.0008498807,15515,3759975,18696.78645324707,138.19465916511368,0.0,0.0008498807,0.9676,0.0,10.0,2419.0
0.007854037,0.36449102,0.00056597235,15555,3769975,18741.10612678528,139.06916459666067,0.0,0.00056597235,0.9727,0.0,10.0,2431.75
0.0039232136,0.33912733,0.0008122946,15595,3779975,18784.963423728943,140.9567082121191,0.0,0.0008122946,0.9866999999999999,0.0,10.0,2466.75
0.0032130938,0.3368807,0.0007740074,15635,3789975,18828.40270805359,141.2524218048169,0.0,0.0007740074,0.9886000000000001,0.0,10.0,2471.5
0.005790993,0.28794852,0.00095077936,15675,3799975,18872.623203516006,140.97511363691302,0.0,0.00095077936,0.9866000000000001,0.0,10.0,2466.5
0.003559237,0.3120453,0.0008207578,15715,3809975,18916.856242656708,142.1436525062289,0.0,0.0008207578,0.9949,0.0,10.0,2487.25
0.005371451,0.3543842,0.000920309,15755,3819975,18961.366307258606,141.55082117947654,0.0,0.000920309,0.9901999999999997,0.0,10.0,2475.5
0.00479424,0.29765323,0.0007187734,15795,3829975,19005.415205955505,141.41027566686907,0.0,0.0007187734,0.9890999999999999,0.0,10.0,2472.75
0.004491896,0.33743587,0.00086936285,15835,3839975,19049.541785478592,141.38606009572626,0.0,0.00086936285,0.9891000000000002,0.0,10.0,2472.75
0.0032564471,0.3416739,0.0008636221,15876,3849986,19093.956225156784,137.4886541817331,0.0,0.0008636221,0.9702350332594237,0.24390243902439024,9.75609756097561,2404.390243902439
0.0048959167,0.34592015,0.0006366671,15916,3859986,19137.928853988647,141.24812881709676,0.0,0.0006366671,0.9886999999999999,0.0,10.0,2471.75
0.0031067838,0.36790895,0.0005614977,15956,3869986,19181.288598060608,141.33486029057988,0.0,0.0005614977,0.9886999999999999,0.05,9.95,2471.75
0.0025044738,0.35504124,0.00057501666,15996,3879986,19224.80016207695,141.4439846527146,0.0,0.00057501666,0.9898000000000001,0.0,10.0,2474.5
0.005355249,0.32108977,0.00085685664,16036,3889986,19268.575221776962,141.56061844231277,0.0,0.00085685664,0.9898,0.0,10.0,2474.5
0.0045523024,0.33351517,0.00078775355,16076,3899986,19312.803181409836,141.33193390326144,0.0,0.00078775355,0.9891000000000002,0.0,10.0,2472.75
