TtR,Ptt,entropy,TimestepsSoFar,AttNC,surrgain,AttC,entloss,Tmt,EpisodesSoFar,Tmc,MtR,MpbtA,meankl,Tbt,optimgain,TimeElapsed,MpbtN
-70.34210526315789,79.94080228282328,0.21605241,1319988,0.7631578947368421,0.008078928,0.23684210526315788,0.0,82.21052631578948,8520,21.763157894736842,-38.89371741724258,14.465682980895446,0.0037779713,336734.3157894737,0.008078928,23134.409316062927,85.53431701910456
-70.75,80.75434706315397,0.22120525,1329866,0.7777777777777778,0.008638949,0.2222222222222222,0.0,83.08333333333333,8556,20.88888888888889,-38.889425437542485,14.878070910851013,0.004453277,340309.3333333333,0.008638949,23240.951368570328,85.12192908914896
-71.05128205128206,80.70515851289063,0.25219947,1339843,0.6153846153846154,0.012107471,0.38461538461538464,0.0,83.05128205128206,8595,20.94871794871795,-40.015173356797085,14.510967504973888,0.0057550822,340178.0512820513,0.012107471,23351.720822572708,85.48903249502608
-69.39473684210526,80.8509100343369,0.25587556,1349775,0.5,0.010547726,0.5,0.0,83.07894736842105,8633,20.763157894736842,-38.21217483674253,16.487131726283316,0.004826606,340291.36842105264,0.010547726,23464.30432987213,83.51286827371666
-69.73170731707317,79.83304010622267,0.26223266,1359970,0.5609756097560976,0.009332786,0.43902439024390244,0.0,82.07317073170732,8674,21.878048780487806,-40.16204579863012,15.035808291419999,0.004926362,336171.7073170732,0.009332786,23580.329887628555,84.96419170858
-70.125,80.22647849038876,0.23197745,1369762,0.575,0.00621904,0.425,0.0,82.475,8714,21.45,-39.26354473588121,14.978386879661874,0.0030411144,337817.6,0.00621904,23693.704891204834,85.02161312033813
-69.87179487179488,81.23373839822453,0.28515545,1379868,0.6410256410256411,0.012401297,0.358974358974359,0.0,83.51282051282051,8753,20.358974358974358,-38.9893321531285,16.399302147488022,0.007539961,342068.5128205128,0.012401297,23802.243757009506,83.60069785251198
-69.25,80.15585435037084,0.26857015,1389954,0.4090909090909091,0.008090515,0.5909090909090909,0.0,82.38636363636364,8797,21.522727272727273,-39.83844628481837,15.976877794145834,0.003662576,337454.54545454547,0.008090515,23923.616733789444,84.02312220585416
-70.38636363636364,80.73424318550741,0.23832767,1399919,0.38636363636363635,0.007536012,0.6136363636363636,0.0,83.04545454545455,8841,20.90909090909091,-40.92838406261322,15.28193334759152,0.004616859,340154.1818181818,0.007536012,24044.206385850906,84.7180666524085
-69.2,80.76696852732097,0.24987327,1409738,0.375,0.007192846,0.625,0.0,83.075,8881,20.875,-39.06721755324894,16.6755342953685,0.003570581,340275.2,0.007192846,24165.430145978928,83.32446570463148
