entropy,EpisodesSoFar,surrgain,Fce,TimeElapsed,AttC,MtR,meankl,TtR,entloss,AttNC,optimgain,TimestepsSoFar
6.188466,8940,1.9836426e-08,0.16278244631185806,17831.60944223404,6.928571428571429,23.145928830121743,0.01017476,399.5238095238095,0.0,3.0714285714285716,1.9836426e-08,2179888
6.0908237,8981,4.577637e-09,0.16549876281371506,17906.739459753036,7.0,23.428860470187267,0.01017476,409.2682926829268,0.0,3.0,4.577637e-09,2189957
6.188466,9023,6.7138672e-09,0.16880491551459298,17980.244245767593,6.404761904761905,23.73854029263694,0.008933102,410.23809523809524,0.0,3.5952380952380953,6.7138672e-09,2199995
6.0908237,9063,1.4343262e-08,0.17209856569133683,18055.096044063568,6.675,24.074004828067075,0.010174871,421.0,0.0,3.325,1.4343262e-08,2209779
6.188466,9107,9.6130375e-09,0.16609112199276133,18128.900772809982,6.704545454545454,22.5964650118739,0.008933204,388.6363636363636,0.0,3.2954545454545454,9.6130375e-09,2219929
6.2860823,9149,-3.0517577e-10,0.16065856129685915,18202.947184562683,6.523809523809524,22.521266502673647,0.008933204,391.1904761904762,0.0,3.4761904761904763,-3.0517577e-10,2229756
6.3836265,9194,-3.5095216e-09,0.1692946626736908,18278.44463968277,6.866666666666666,23.50053239824117,0.008933204,400.8888888888889,0.0,3.1333333333333333,-3.5095216e-09,2239873
6.2860823,9235,5.493164e-09,0.1570136823319453,18354.213765621185,6.878048780487805,21.861776502587563,0.010175116,387.5609756097561,0.0,3.1219512195121952,5.493164e-09,2249914
6.188466,9277,-1.8310546e-09,0.16511470985155197,18430.009007930756,6.761904761904762,22.756526763636238,0.01017476,399.76190476190476,0.0,3.238095238095238,-1.8310546e-09,2259946
6.0908237,9319,9.460449e-09,0.1704995544995545,18507.113673210144,6.809523809523809,23.359919417449866,0.01017476,410.7142857142857,0.0,3.1904761904761907,9.460449e-09,2269996
6.188466,9360,1.9226075e-08,0.17249245063879207,18581.523104906082,6.902439024390244,23.991399997101638,0.008933204,415.1219512195122,0.0,3.097560975609756,1.9226075e-08,2279768
6.2860823,9400,5.9509278e-09,0.1748,18661.96085882187,6.075,25.204157244644296,0.008933204,437.0,0.0,3.925,5.9509278e-09,2289768
6.3836265,9441,8.544922e-09,0.1608594657375145,18736.69698190689,6.463414634146342,23.04846052924889,0.008933204,396.8292682926829,0.0,3.5365853658536586,8.544922e-09,2299789
6.2860823,9482,1.34277345e-08,0.16351219512195123,18815.450826883316,7.0,23.294445966958616,0.010174863,408.780487804878,0.0,3.0,1.34277345e-08,2309796
6.3836265,9522,1.4801025e-08,0.1664,18891.537581920624,6.05,24.140347895358584,0.008933196,416.0,0.0,3.95,1.4801025e-08,2319796
6.481249,9563,2.822876e-09,0.16550962772785624,18966.232867002487,7.097560975609756,23.312750315692288,0.008933204,404.8780487804878,0.0,2.902439024390244,2.822876e-09,2329815
6.481249,9604,2.822876e-09,0.1660018066847335,19040.000412225723,6.463414634146342,23.559625127379004,0.008933204,410.9756097560976,0.0,3.5365853658536586,2.822876e-09,2339842
6.481249,9646,2.822876e-09,0.1622865282865283,19113.204815387726,6.619047619047619,22.823722741783747,0.008933204,395.0,0.0,3.380952380952381,2.822876e-09,2349864
6.578771,9690,1.083374e-08,0.1600551008282101,19188.79700946808,7.0,21.37494965490728,0.00893351,369.77272727272725,0.0,3.0,1.083374e-08,2359775
6.481249,9733,2.2888185e-09,0.16237459364841206,19261.358613729477,6.813953488372093,22.62456866032323,0.010174751,391.6279069767442,0.0,3.186046511627907,2.2888185e-09,2369846
6.578771,9773,5.3405763e-10,0.166,19337.701682567596,6.65,24.007577758853316,0.008933196,415.0,0.0,3.35,5.3405763e-10,2379846
6.6763177,9813,2.746582e-09,0.1653,19411.91913175583,6.425,23.444097492800488,0.008933204,413.25,0.0,3.575,2.746582e-09,2389846
6.6763177,9854,2.746582e-09,0.16390243902439025,19484.06529521942,6.585365853658536,23.630206657270833,0.008933204,409.7560975609756,0.0,3.4146341463414633,2.746582e-09,2399857
6.7739377,9895,5.0354005e-09,0.1627625160462131,19557.405513763428,6.7317073170731705,23.21578360769915,0.008933102,400.9756097560976,0.0,3.268292682926829,5.0354005e-09,2409876
6.87158,9935,1.2817383e-08,0.16979999999999998,19630.706731796265,6.25,24.673054994912626,0.008933204,424.5,0.0,3.75,1.2817383e-08,2419876
6.87158,9975,1.2817383e-08,0.16909999999999997,19702.88210105896,6.4,24.570188776789813,0.008933204,422.75,0.0,3.6,1.2817383e-08,2429876
6.871405,10015,-9.765625e-09,0.15730000000000002,19785.340672254562,7.5,22.93586109719569,0.0,393.25,0.0,2.5,-9.765625e-09,2439876
6.969201,10058,-1.5258789e-09,0.16746052733919264,19857.851610422134,6.953488372093023,23.696530996430507,0.008933102,405.5813953488372,0.0,3.046511627906977,-1.5258789e-09,2449919
6.969201,10102,-1.5258789e-09,0.1524124774332691,19930.934327840805,6.863636363636363,21.391889745884733,0.008933102,370.0,0.0,3.1363636363636362,-1.5258789e-09,2459890
6.993609,10143,-1.8310546e-09,0.16883759666864961,20007.503364801407,6.7560975609756095,23.869025010271695,0.00058567524,414.6341463414634,0.0,3.2439024390243905,-1.8310546e-09,2469931
6.944789,10184,-6.1035155e-09,0.1638637351430757,20086.620952367783,7.121951219512195,23.159369928140674,0.0024603605,403.1707317073171,0.0,2.8780487804878048,-6.1035155e-09,2479771
6.9386263,10225,1.6021728e-09,0.16712195121951218,20164.96360230446,7.048780487804878,23.781884393733478,3.7312508e-05,417.8048780487805,0.0,2.951219512195122,1.6021728e-09,2489774
7.0361776,10266,3.0517577e-10,0.17778510217534607,20245.267243385315,5.829268292682927,25.120846019885303,0.008933204,434.6341463414634,0.0,4.170731707317073,3.0517577e-10,2499811
6.9386263,10308,-8.239746e-09,0.16799999999999998,20321.697385549545,6.833333333333333,23.7202458454545,0.010174781,414.5238095238095,0.0,3.1666666666666665,-8.239746e-09,2509939
7.0361786,10348,3.0517577e-09,0.17319999999999997,20398.685525417328,6.825,24.89176887539407,0.008933196,433.0,0.0,3.175,3.0517577e-09,2519939
7.0361786,10390,3.0517577e-09,0.15912972085385876,20470.74046611786,6.690476190476191,22.49790921633816,0.008933196,392.3809523809524,0.0,3.3095238095238093,3.0517577e-09,2529973
7.1338,10430,1.373291e-09,0.18609999999999993,20546.750163078308,5.775,26.764709529233283,0.00893351,465.25,0.0,4.225,1.373291e-09,2539973
7.0361786,10471,2.166748e-08,0.15425668820790778,20623.29377937317,7.170731707317073,21.950462964638437,0.010174781,374.390243902439,0.0,2.8292682926829267,2.166748e-08,2549789
6.9386263,10512,6.7138672e-09,0.1663621581670362,20699.33688545227,6.317073170731708,23.927789063045722,0.010174781,414.1463414634146,0.0,3.682926829268293,6.7138672e-09,2559954
7.0361786,10555,-8.544922e-09,0.15803076474447764,20774.865030288696,6.813953488372093,22.008019877848334,0.008933204,381.16279069767444,0.0,3.186046511627907,-8.544922e-09,2569754
7.0361786,10598,-8.544922e-09,0.1666298662577732,20848.5705678463,6.488372093023256,23.45556122026421,0.008933204,403.0232558139535,0.0,3.511627906976744,-8.544922e-09,2579837
6.9386263,10640,1.0070801e-08,0.16233224884156564,20923.00347995758,6.642857142857143,22.41154104580973,0.010174863,393.0952380952381,0.0,3.357142857142857,1.0070801e-08,2589881
7.0361786,10681,4.119873e-09,0.17465464234474276,21000.966042995453,6.878048780487805,24.918455167101904,0.008933102,433.4146341463415,0.0,3.1219512195121952,4.119873e-09,2600000
7.011856,10721,4.272461e-09,0.17439999999999994,21076.82994413376,6.275,25.351713265081123,0.00060504675,436.0,0.0,3.725,4.272461e-09,2609775
7.011856,10761,4.272461e-09,0.18080000000000002,21149.8662481308,6.125,25.785649493645508,0.00060504675,452.0,0.0,3.875,4.272461e-09,2619775
7.011856,10804,4.272461e-09,0.16640218878248972,21221.974131822586,6.558139534883721,23.237350160606894,0.00060504675,403.25581395348837,0.0,3.441860465116279,4.272461e-09,2629818
7.1094093,10844,4.272461e-09,0.16909999999999997,21298.049907922745,6.8,24.622388811972023,0.008933196,422.75,0.0,3.2,4.272461e-09,2639818
7.1094093,10887,4.272461e-09,0.17534103106196128,21371.24315237999,6.348837209302325,22.92096052641104,0.008933196,396.9767441860465,0.0,3.6511627906976742,4.272461e-09,2649847
7.1094093,10930,4.272461e-09,0.16009130839773794,21442.854328870773,6.883720930232558,22.045351102336245,0.008933196,383.72093023255815,0.0,3.116279069767442,4.272461e-09,2659930
7.011856,10971,9.460449e-09,0.16653658536585367,21521.26588177681,6.853658536585366,23.99924534616353,0.010174863,416.3414634146341,0.0,3.1463414634146343,9.460449e-09,2669939
7.011856,11013,9.460449e-09,0.15644897959183676,21594.788160562515,6.714285714285714,22.154843562352298,0.010174863,382.85714285714283,0.0,3.2857142857142856,9.460449e-09,2679949
7.011856,11055,9.460449e-09,0.16385558667911607,21671.419191598892,6.880952380952381,22.834271318202088,0.010174863,400.0,0.0,3.119047619047619,9.460449e-09,2689975
