MtR,AttNC,AttC,TimeElapsed,surrgain,entloss,optimgain,TimestepsSoFar,entropy,EpisodesSoFar,TtR,meankl,Fce
15.731702667257572,0.8163265306122449,0.1836734693877551,1374.9445099830627,0.003361029,0.0,0.003361029,439923,0.5564687,2518,27.693877551020407,0.005092752,0.15242105263157896
17.907572187887602,0.8695652173913043,0.13043478260869565,1406.0019118785858,0.003322208,0.0,0.003322208,449943,0.55010974,2564,31.47826086956522,0.005305458,0.12591304347826082
17.06370968870072,0.851063829787234,0.14893617021276595,1439.3055529594421,0.0031138475,0.0,0.0031138475,459958,0.52285695,2611,29.829787234042552,0.0036771195,0.11931914893617022
18.12521028243529,0.851063829787234,0.14893617021276595,1469.8742060661316,0.0042845383,0.0,0.0042845383,469965,0.52577615,2658,31.72340425531915,0.0059345462,0.1268936170212766
17.77043900346193,0.8695652173913043,0.13043478260869565,1502.2214832305908,0.0035581612,0.0,0.0035581612,479971,0.5261564,2704,31.434782608695652,0.0038644029,0.12573913043478263
17.306524882126975,0.8333333333333334,0.16666666666666666,1532.922574520111,0.0034165503,0.0,0.0034165503,489999,0.4990516,2752,30.416666666666668,0.004840632,0.1216666666666667
18.592155687598805,0.8863636363636364,0.11363636363636363,1564.3526043891907,0.002561155,0.0,0.002561155,499754,0.51455384,2796,32.68181818181818,0.0025875357,0.13072727272727275
18.866449686604312,0.8888888888888888,0.1111111111111111,1596.0696294307709,0.004195137,0.0,0.004195137,509807,0.50466627,2841,33.111111111111114,0.0061238,0.1402154231526212
17.11791660515637,0.8,0.2,1626.46160197258,0.0032250762,0.0,0.0032250762,519895,0.48414066,2891,29.68,0.004196406,0.12292965517241383
17.81981688747862,0.8888888888888888,0.1111111111111111,1659.0586063861847,0.003082141,0.0,0.003082141,529936,0.47045878,2936,31.42222222222222,0.0054127253,0.13826262626262628
19.16445952150306,0.8888888888888888,0.1111111111111111,1689.6984429359436,0.0037233501,0.0,0.0037233501,539941,0.46234152,2981,33.31111111111111,0.005172277,0.1553777777777778
16.687715952864604,0.7959183673469388,0.20408163265306123,1722.3926594257355,0.004266858,0.0,0.004266858,549755,0.43208468,3030,29.591836734693878,0.006080479,0.15285692960569805
18.64148348310745,0.8888888888888888,0.1111111111111111,1752.798753976822,0.0031395904,0.0,0.0031395904,559772,0.40806288,3075,33.0,0.004674185,0.13524102564102564
17.70075449711151,0.8888888888888888,0.1111111111111111,1784.3366055488586,0.0046678786,0.0,0.0046678786,569777,0.42567798,3120,31.266666666666666,0.006451871,0.1250666666666667
17.968593285230618,0.8888888888888888,0.1111111111111111,1816.0919890403748,0.0030751403,0.0,0.0030751403,579782,0.4164733,3165,31.488888888888887,0.00458608,0.12595555555555557
17.85388711939688,0.8695652173913043,0.13043478260869565,1846.7727618217468,0.0031333007,0.0,0.0031333007,589798,0.40821913,3211,31.47826086956522,0.0040478115,0.12780237154150198
