TimestepsSoFar,TtR,Ptt,entropy,MpbtA,optimgain,surrgain,Tmc,EpisodesSoFar,MtR,AttNC,Tmt,MpbtN,TimeElapsed,Tbt,AttC,entloss,meankl
3869871,-107.5,61.383401692332036,0.19094048,82.89321414474831,0.0024407622,0.0024407622,41.93055555555556,28005,-7.833774932354185,1.1388888888888888,63.05555555555556,17.106785855251676,56773.44947099686,258275.55555555556,8.86111111111111,0.0,0.004472332
3879960,-106.02739726027397,61.332356681441986,0.18887249,83.2033038657287,0.002107673,0.002107673,41.986301369863014,28078,-7.732401901542548,1.2054794520547945,63.0,16.7966961342713,56899.03475165367,258048.0,8.794520547945206,0.0,0.0041271676
3889995,-114.72222222222223,61.88946740663984,0.18743512,82.00637046617707,0.0047277077,0.0047277077,41.40277777777778,28150,-8.092156071049128,1.0972222222222223,63.59722222222222,17.99362953382291,57026.21900391579,260494.22222222222,8.902777777777779,0.0,0.005132224
3899898,-120.4225352112676,61.88808632150015,0.18829149,80.95723822183285,0.0022788076,0.0022788076,41.394366197183096,28221,-8.475375107506501,0.8028169014084507,63.59154929577465,19.04276177816711,57152.15997648239,260470.98591549296,9.19718309859155,0.0,0.0039055939
3909871,-104.86111111111111,61.25224571804579,0.17718568,83.39879549710348,0.00282034,0.00282034,42.083333333333336,28293,-7.59083967072721,1.0972222222222223,62.93055555555556,16.601204502896497,57275.46356368065,257763.55555555556,8.902777777777779,0.0,0.0045330664
3919893,-103.80281690140845,61.67629269619661,0.18749534,83.65622626804783,0.0026834484,0.0026834484,41.61971830985915,28364,-7.633463356318266,1.2253521126760563,63.36619718309859,16.343773731952147,57400.28047823906,259547.94366197183,8.774647887323944,0.0,0.004350374
3929968,-94.58333333333333,60.36915255938004,0.18919659,84.65585097818008,0.003365566,0.003365566,43.013888888888886,28436,-7.182969217686063,1.5555555555555556,61.986111111111114,15.344149021819927,57527.11018228531,253895.11111111112,8.444444444444445,0.0,0.005591874
3939936,-101.11111111111111,59.52507594055837,0.17629264,83.5060091041605,0.0026551362,0.0026551362,43.93055555555556,28508,-7.473954523315424,1.3194444444444444,61.111111111111114,16.49399089583951,57654.27882146835,250311.11111111112,8.680555555555555,0.0,0.0049602785
3949899,-113.28767123287672,59.76149358070647,0.17725578,81.51716907803848,0.0034667605,0.0034667605,43.67123287671233,28581,-8.19418291231138,1.0547945205479452,61.35616438356164,18.48283092196151,57787.46634340286,251314.84931506848,8.945205479452055,0.0,0.005838599
3959908,-104.58333333333333,58.7191068396622,0.18172126,82.59710749716605,0.0034319416,0.0034319416,44.77777777777778,28653,-7.851284742466201,1.4861111111111112,60.25,17.402892502833936,57918.89146947861,246784.0,8.51388888888889,0.0,0.006575567
3969895,-128.64864864864865,59.85192699933237,0.18124594,79.16077889068136,0.0022664643,0.0022664643,43.567567567567565,28727,-8.984620119621974,0.9459459459459459,61.445945945945944,20.83922110931865,58055.665909051895,251682.5945945946,9.054054054054054,0.0,0.0038115089
3979903,-114.1891891891892,59.991840814540936,0.1731846,81.38025039157989,0.0026507752,0.0026507752,43.41891891891892,28801,-8.104907124198103,1.1216216216216217,61.5945945945946,18.61974960842007,58190.23512530327,252291.45945945947,8.878378378378379,0.0,0.004638034
3989985,-105.27027027027027,59.39968681006108,0.17894112,82.74607461047935,0.002496781,0.002496781,44.054054054054056,28875,-7.707289586958038,1.1486486486486487,60.972972972972975,17.253925389520596,58319.22749567032,249745.2972972973,8.85135135135135,0.0,0.004667135
3999928,-117.67123287671232,58.13297138202976,0.17190658,80.31978229272598,0.0023699594,0.0023699594,45.42465753424658,28948,-8.50440343192,0.8904109589041096,59.657534246575345,19.68021770727403,58452.689474105835,244357.2602739726,9.10958904109589,0.0,0.0049819928
4009957,-108.24324324324324,59.563275105277235,0.17544395,82.2048505753432,0.0024839728,0.0024839728,43.891891891891895,29022,-7.746498620549849,0.9864864864864865,61.16216216216216,17.795149424656838,58584.46169638634,250520.2162162162,9.013513513513514,0.0,0.0040285937
4019874,-131.0958904109589,61.33941899871421,0.1608526,79.19046547484952,0.0028456366,0.0028456366,41.97260273972603,29095,-9.139345071058633,0.6027397260273972,63.0,20.809534525150486,58717.90554046631,258048.0,9.397260273972602,0.0,0.0055793016
4030000,-97.83783783783784,59.979089248372574,0.17147358,84.08421405774523,0.0024459981,0.0024459981,43.432432432432435,29169,-7.243120751021321,1.4324324324324325,61.567567567567565,15.915785942254763,58847.210344314575,252180.75675675675,8.567567567567568,0.0,0.0037991195
4039981,-102.77777777777777,60.50172148675396,0.16437453,83.46790040869922,0.0023856463,0.0023856463,42.861111111111114,29241,-7.486887113307138,1.3055555555555556,62.111111111111114,16.532099591300774,58976.54252457619,254407.11111111112,8.694444444444445,0.0,0.004412406
4049922,-92.5,58.167655037179465,0.17280145,84.46275939656523,0.0031804868,0.0031804868,45.375,29313,-7.019711269167973,1.8055555555555556,59.68055555555556,15.537240603434775,59107.994923591614,244451.55555555556,8.194444444444445,0.0,0.0047517917
4059880,-103.01369863013699,60.063897900945626,0.1620984,83.15976555563623,0.0022939234,0.0022939234,43.35616438356164,29386,-7.463950965132637,0.9315068493150684,61.68493150684932,16.84023444436375,59237.76099777222,252661.4794520548,9.068493150684931,0.0,0.0037194935
4069938,-123.10810810810811,59.39765024932462,0.17046441,79.59619539239124,0.0022997048,0.0022997048,44.054054054054056,29460,-8.829160075062688,1.027027027027027,60.972972972972975,20.403804607608752,59370.73539328575,249745.2972972973,8.972972972972974,0.0,0.00388169
4079942,-106.89189189189189,59.84212820129386,0.16943581,82.4640508629968,0.0024618583,0.0024618583,43.58108108108108,29534,-7.8241517854038065,1.0405405405405406,61.432432432432435,17.535949137003165,59499.734164476395,251627.24324324325,8.95945945945946,0.0,0.003909755
4089939,-103.42465753424658,59.356974514299836,0.18458387,82.89402701922786,0.0033163438,0.0033163438,44.0958904109589,29607,-7.449714861994688,1.2191780821917808,60.917808219178085,17.105972980772137,59629.68505644798,249519.34246575343,8.780821917808218,0.0,0.006345063
4099881,-126.48648648648648,60.75385817137423,0.17353521,79.77152369813496,0.002569734,0.002569734,42.5945945945946,29681,-8.714343441257334,0.7162162162162162,62.37837837837838,20.22847630186504,59761.059504032135,255501.83783783784,9.283783783783784,0.0,0.0043463097
4109969,-112.83783783783784,60.20275648555414,0.1645789,81.681635191294,0.0023704162,0.0023704162,43.189189189189186,29755,-7.961231966698415,1.0135135135135136,61.810810810810814,18.318364808705972,59891.321652173996,253177.0810810811,8.986486486486486,0.0,0.004700154
4119952,-105.55555555555556,61.19637445946153,0.17444848,83.15305847229534,0.0025682996,0.0025682996,42.125,29827,-7.643614089501721,1.2361111111111112,62.84722222222222,16.846941527704644,60016.51040768623,257422.22222222222,8.76388888888889,0.0,0.004433959
4129919,-108.75,60.532333084358974,0.16440934,82.46687490299365,0.0030178314,0.0030178314,42.84722222222222,29899,-7.880629001706132,1.5416666666666667,62.166666666666664,17.53312509700635,60148.77226352692,254634.66666666666,8.458333333333334,0.0,0.0047621955
4139925,-113.28767123287672,59.965143196218165,0.17854963,81.55027414348434,0.0034760938,0.0034760938,43.45205479452055,29972,-8.333355420941668,1.2602739726027397,61.56164383561644,18.449725856515656,60280.3588783741,252156.49315068492,8.73972602739726,0.0,0.0055966782
4149946,-118.10810810810811,60.96079649420559,0.16640407,81.24122828595395,0.0024542285,0.0024542285,42.37837837837838,30046,-8.381149159842796,0.9864864864864865,62.5945945945946,18.758771714046077,60411.749509096146,256387.45945945947,9.013513513513514,0.0,0.005193025
4159881,-110.54794520547945,59.37130118189343,0.16263367,81.90795097756138,0.0022972778,0.0022972778,44.082191780821915,30119,-7.857842290082867,1.0410958904109588,60.93150684931507,18.092049022438623,60541.860651016235,249575.45205479453,8.95890410958904,0.0,0.003957576
4169903,-124.32432432432432,61.27593889193332,0.16352485,80.36500911817014,0.0024373163,0.0024373163,42.04054054054054,30193,-8.619744143167532,0.8918918918918919,62.932432432432435,19.63499088182988,60670.169984817505,257771.24324324325,9.108108108108109,0.0,0.0040825563
4179942,-100.8108108108108,59.64946332790677,0.16243151,83.50136406604697,0.002850913,0.002850913,43.7972972972973,30267,-7.381187156107659,1.0405405405405406,61.24324324324324,16.498635933953004,60798.84850239754,250852.32432432432,8.95945945945946,0.0,0.005952476
4189913,-123.73333333333333,60.07232955947646,0.14652686,79.96605405206431,0.0018667536,0.0018667536,43.346666666666664,30342,-8.604710313299918,0.8133333333333334,61.693333333333335,20.033945947935713,60932.59117984772,252695.89333333334,9.186666666666667,0.0,0.0038347095
4199938,-108.15789473684211,59.387776183486814,0.1425763,82.14985455356441,0.002395888,0.002395888,44.06578947368421,30418,-7.791088612063051,0.8026315789473685,60.96052631578947,17.85014544643559,61063.49733495712,249694.31578947368,9.197368421052632,0.0,0.004076283
4209963,-104.34210526315789,59.619893571814636,0.15215555,82.85751102246977,0.0024575843,0.0024575843,43.81578947368421,30494,-7.559562152530629,0.9605263157894737,61.19736842105263,17.14248897753027,61191.309530735016,250664.42105263157,9.039473684210526,0.0,0.0044806553
4219942,-99.86486486486487,60.03270406143506,0.14194527,83.71540390467251,0.0020857106,0.0020857106,43.37837837837838,30568,-7.363396709828303,1.2837837837837838,61.63513513513514,16.28459609532746,61321.24901628494,252457.51351351352,8.716216216216216,0.0,0.0037526528
4229944,-103.10810810810811,61.08960643259435,0.15055484,83.5596860247257,0.002553779,0.002553779,42.24324324324324,30642,-7.529181643691752,1.2837837837837838,62.74324324324324,16.44031397527429,61448.41148686409,256996.32432432432,8.716216216216216,0.0,0.0046021855
4239896,-98.35616438356165,60.848092847377,0.15400504,84.2021783711637,0.003035907,0.003035907,42.49315068493151,30715,-7.055372970044122,1.1506849315068493,62.47945205479452,15.797821628836305,61573.524582862854,255915.83561643836,8.849315068493151,0.0,0.0052307434
4249934,-110.8108108108108,60.078928930289784,0.13621257,82.0878283808926,0.0021560648,0.0021560648,43.32432432432432,30789,-7.862979130303392,1.2837837837837838,61.67567567567568,17.91217161910738,61704.49463248253,252623.56756756757,8.716216216216216,0.0,0.0046734507
4259891,-107.63888888888889,61.19734294947081,0.12904732,82.75863720590064,0.0022639884,0.0022639884,42.138888888888886,30861,-7.654515936671363,1.5138888888888888,62.875,17.241362794099334,61831.98117136955,257536.0,8.48611111111111,0.0,0.00460394
4269893,-100.13888888888889,60.466222390331104,0.15429865,83.90135025913523,0.0030394678,0.0030394678,42.916666666666664,30933,-7.323024661677871,1.9027777777777777,62.09722222222222,16.098649740864825,61961.44670820236,254350.22222222222,8.097222222222221,0.0,0.0062763807
4279916,-107.83783783783784,61.33636446706133,0.14504366,82.88223710797861,0.0029874786,0.0029874786,41.972972972972975,31007,-7.726083620208694,1.2837837837837838,62.986486486486484,17.1177628920214,62088.663281440735,257992.64864864864,8.716216216216216,0.0,0.005165313
4289893,-106.26666666666667,61.066118213898115,0.14512092,83.22121174299043,0.0020306518,0.0020306518,42.266666666666666,31082,-7.6009523998544575,1.5066666666666666,62.72,16.77878825700955,62215.14460515976,256901.12,8.493333333333334,0.0,0.0038829504
4299955,-111.6,59.89246829208052,0.13718143,81.83605484065716,0.0024163267,0.0024163267,43.53333333333333,31157,-7.972304564996356,1.24,61.49333333333333,18.163945159342816,62345.69540476799,251876.69333333333,8.76,0.0,0.0045818733
4309900,-110.8108108108108,59.64333705121426,0.13490418,82.00301354474314,0.0025843084,0.0025843084,43.7972972972973,31231,-8.071021916040769,1.635135135135135,61.229729729729726,17.99698645525685,62476.166095495224,250796.97297297296,8.364864864864865,0.0,0.004395561
4319879,-109.45205479452055,60.54861580087686,0.1297498,82.40359941735778,0.0027678136,0.0027678136,42.821917808219176,31304,-7.888206079899324,1.2054794520547945,62.16438356164384,17.59640058264221,62603.6871509552,254625.31506849316,8.794520547945206,0.0,0.004741186
4329993,-102.02702702702703,59.636575445604315,0.14263685,83.34913435166575,0.0030104353,0.0030104353,43.7972972972973,31378,-7.628984509943981,1.6081081081081081,61.21621621621622,16.65086564833429,62728.30751681328,250741.62162162163,8.391891891891891,0.0,0.0043532723
4339924,-106.13333333333334,58.78308796504082,0.1354644,82.3772026188059,0.0024989713,0.0024989713,44.72,31453,-7.747437930679757,1.24,60.333333333333336,17.622797381194083,62855.598779678345,247125.33333333334,8.76,0.0,0.004574321
4349984,-90.93333333333334,58.97509339813482,0.15447016,84.84923764076623,0.003323209,0.003323209,44.50666666666667,31528,-6.943382632535259,1.68,60.52,15.150762359233743,62982.53124046326,247889.92,8.32,0.0,0.005399383
4359975,-109.35064935064935,60.3031714685579,0.15058291,82.32900843947338,0.0024090332,0.0024090332,43.09090909090909,31605,-8.124979831345495,1.077922077922078,61.922077922077925,17.670991560526613,63109.453647851944,253632.83116883118,8.922077922077921,0.0,0.004656882
4369948,-111.21621621621621,60.790036041656116,0.12608127,82.2143446732503,0.002456863,0.002456863,42.567567567567565,31679,-8.00512707446632,1.0405405405405406,62.432432432432435,17.785655326749705,63237.03723835945,255723.24324324325,8.95945945945946,0.0,0.0046547707
4379978,-90.66666666666667,59.420430631792044,0.13778836,85.06476781903311,0.0021256595,0.0021256595,44.04,31754,-6.90911221452523,1.4666666666666666,61.0,14.935232180966892,63360.07461094856,249856.0,8.533333333333333,0.0,0.003986352
4389997,-99.86666666666666,59.819342139160206,0.14790764,83.68701467875336,0.0023381195,0.0023381195,43.6,31829,-7.819357418263323,1.3333333333333333,61.4,16.312985321246625,63486.228220939636,251494.4,8.666666666666666,0.0,0.004941235
4399920,-93.2,59.563872607866976,0.15677617,84.61822380597596,0.0034025952,0.0034025952,43.85333333333333,31904,-7.1555988789513485,1.56,61.10666666666667,15.381776194024024,63609.43662190437,250292.90666666668,8.44,0.0,0.0060007754
4409915,-94.65753424657534,59.90156951200882,0.15002622,84.51713140891306,0.0019900838,0.0019900838,43.50684931506849,31977,-7.066747133174451,1.3287671232876712,61.47945205479452,15.48286859108697,63731.47509980202,251819.83561643836,8.67123287671233,0.0,0.00403814
4419953,-101.35135135135135,60.10645679342381,0.14732166,83.5053847459427,0.0024106873,0.0024106873,43.2972972972973,32051,-7.465809185636641,1.162162162162162,61.7027027027027,16.494615254057305,63857.12372326851,252734.27027027027,8.837837837837839,0.0,0.005143181
4429915,-104.13333333333334,58.916538078230964,0.14569214,82.49685416585163,0.0021960202,0.0021960202,44.586666666666666,32126,-7.592274463152496,1.04,60.48,17.50314583414833,63976.86781382561,247726.08,8.96,0.0,0.004131095
4439893,-97.73333333333333,60.34409269290301,0.13225052,84.10144602346752,0.002304352,0.002304352,43.026666666666664,32201,-7.266085604400273,1.3333333333333333,61.93333333333333,15.898553976532446,64093.27400422096,253678.93333333332,8.666666666666666,0.0,0.0052106944
