entropy,Tmc,Tbt,AttC,MpbtA,meankl,EpisodesSoFar,TimestepsSoFar,surrgain,MtR,Ptt,TimeElapsed,entloss,MpbtN,Tmt,TtR,optimgain,AttNC
0.34145296,43.206896551724135,253175.1724137931,7.017241379310345,69.03086398234569,0.0062835473,3092,249999,0.0013038971,-12.199030646529385,60.1941357721815,7203.834547758102,0.0,30.96913601765428,61.810344827586206,-193.44827586206895,0.0013038971,2.9827586206896552
0.36300692,46.646153846153844,239143.38461538462,3.123076923076923,76.40851578633438,0.006627123,3157,259881,0.0016285251,-10.336795475319422,56.95723818966787,7356.264707326889,0.0,23.591484213665623,58.38461538461539,-137.84615384615384,0.0016285251,6.876923076923077
0.33296353,44.75409836065574,246901.50819672132,7.754098360655738,72.159637825426,0.0060447087,3218,269856,0.0010099827,-11.165857066427737,58.742795237529066,7497.025799751282,0.0,27.840362174573997,60.278688524590166,-168.85245901639345,0.0010099827,2.2459016393442623
0.32242957,45.375,244416.0,3.796875,75.13634132907511,0.0037571804,3282,279952,0.0006767102,-10.506478826398775,58.16170448193001,7645.960404634476,0.0,24.86365867092487,59.671875,-148.28125,0.0006767102,6.203125
0.35760868,46.296875,240640.0,4.265625,72.64084300415008,0.0044353707,3346,289945,0.0010072638,-11.247760024207125,57.29374487595285,7796.002203702927,0.0,27.359156995849933,58.75,-160.78125,0.0010072638,5.734375
0.29358098,44.67213114754098,247170.09836065574,7.311475409836065,71.06587228960693,0.007226333,3407,299912,0.0016214569,-11.518239075283885,58.81163166980505,7937.275339841843,0.0,28.93412771039308,60.34426229508197,-175.7377049180328,0.0016214569,2.6885245901639343
0.35104993,46.52307692307692,239647.5076923077,3.1384615384615384,75.08752457196158,0.008872735,3472,309919,0.0020541388,-10.643217658405767,57.07130808429165,8094.331707715988,0.0,24.912475428038434,58.50769230769231,-145.69230769230768,0.0020541388,6.861538461538461
0.31785133,45.25396825396825,244914.79365079364,6.73015873015873,73.28426376992513,0.00563474,3535,319970,0.0011011771,-11.029299488561884,58.27652927649549,8238.988570213318,0.0,26.715736230074853,59.79365079365079,-160.79365079365078,0.0011011771,3.2698412698412698
0.3675751,47.953125,234368.0,4.265625,74.93584322991698,0.0076290737,3599,329861,0.0020779297,-10.642845927332797,55.78683426833711,8390.678234100342,0.0,25.064156770083024,57.21875,-143.4375,0.0020779297,5.734375
0.31510493,45.12698412698413,245239.87301587302,6.698412698412699,73.10068055601307,0.009134187,3662,339869,0.001807785,-10.886798245307427,58.37884351493645,8534.887795686722,0.0,26.899319443986958,59.87301587301587,-161.26984126984127,0.001807785,3.3015873015873014
0.36408713,46.714285714285715,238998.3492063492,3.9365079365079363,75.49968496694402,0.008103573,3725,349894,0.0016108414,-10.048192353466643,56.909427736340675,8687.246690750122,0.0,24.500315033055994,58.34920634920635,-143.96825396825398,0.0016108414,6.063492063492063
0.29484984,48.171875,233216.0,6.515625,75.20004041802446,0.008830642,3789,359949,0.0012003112,-9.928565468654194,55.55042867552853,8834.409046888351,0.0,24.799959581975582,56.9375,-140.78125,0.0012003112,3.484375
0.3275663,48.46153846153846,232022.64615384614,4.292307692307692,76.81552004126605,0.008146471,3854,369923,0.001962253,-9.659365332846265,55.276983788727236,8987.166679859161,0.0,23.18447995873396,56.646153846153844,-131.07692307692307,0.001962253,5.707692307692308
0.27301174,46.04761904761905,241598.9841269841,6.26984126984127,73.34181245471069,0.0069031343,3917,379863,0.0014427227,-10.927540622803464,57.52197983874898,9132.993402719498,0.0,26.658187545289294,58.98412698412698,-157.61904761904762,0.0014427227,3.7301587301587302
0.3038227,47.15625,237248.0,4.640625,75.9076348993231,0.0053048744,3981,389868,0.0011277868,-10.162600379444639,56.49607578405013,9285.266235113144,0.0,24.09236510067691,57.921875,-139.375,0.0011277868,5.359375
0.32505575,49.07575757575758,229562.18181818182,4.984848484848484,76.67877687662136,0.0038695917,4047,399944,0.0015611252,-9.740979723130692,54.70320225899289,9437.319937467575,0.0,23.32122312337864,56.04545454545455,-130.6060606060606,0.0015611252,5.015151515151516
0.32684124,46.80952380952381,238738.2857142857,6.428571428571429,73.89554351110019,0.0053049913,4110,409872,0.0010852533,-10.532577186989945,56.83212923356913,9581.51501750946,0.0,26.10445648889983,58.285714285714285,-151.9047619047619,0.0010852533,3.5714285714285716
0.36431298,44.703125,247040.0,4.546875,74.02368955601563,0.006183326,4174,419879,0.0018208073,-10.837394753596788,58.784497486215265,9728.034415721893,0.0,25.97631044398438,60.3125,-156.5625,0.0018208073,5.453125
0.3060716,43.57627118644068,251591.59322033898,7.220338983050848,68.22777346846674,0.007758132,4233,429825,0.0009395496,-12.66447252809316,59.83726042565241,9869.965658187866,0.0,31.772226531533274,61.42372881355932,-196.61016949152543,0.0009395496,2.7796610169491527
0.32672784,45.890625,242432.0,3.203125,73.65732364140644,0.00697316,4297,439877,0.0016551149,-11.037463203845691,57.68946171556354,10024.108992099762,0.0,26.342676358593586,59.1875,-155.78125,0.0016551149,6.796875
