meankl,MtR,AttC,EpisodesSoFar,TimestepsSoFar,AttNC,TtR,surrgain,optimgain,entloss,entropy,TimeElapsed,Fce
0.004963053,21.464352184844138,1.380952380952381,8886,1969887,1.619047619047619,114.5,0.0021114189,0.0021114189,0.0,0.95295835,7956.474293708801,0.15516494133885436
0.0052007954,19.306922920984146,1.4090909090909092,8930,1979933,1.5909090909090908,101.31818181818181,0.0021907848,0.0021907848,0.0,0.93076926,7996.172311782837,0.14167942583732057
0.0035045568,19.137553396503776,1.1428571428571428,8972,1989957,1.8571428571428572,101.0,0.0019078583,0.0019078583,0.0,0.9189926,8036.920864582062,0.13466666666666668
0.003987801,19.334369027697587,0.8780487804878049,9013,1999980,2.1219512195121952,102.51219512195122,0.0017787537,0.0017787537,0.0,0.90296906,8077.148432254791,0.14053446447507953
0.004311231,18.34663801480293,0.675,9053,2009980,2.325,97.425,0.0020400186,0.0020400186,0.0,0.92846674,8117.992476224899,0.12990000000000004
0.00403403,18.75215485243432,1.0952380952380953,9095,2019863,1.9047619047619047,98.35714285714286,0.002016338,0.002016338,0.0,0.9347543,8157.877974510193,0.13751503778104762
0.002286437,19.46578963951399,1.3636363636363635,9139,2029936,1.6363636363636365,102.95454545454545,0.0013540894,0.0013540894,0.0,0.95514023,8197.712626218796,0.14814118449229197
0.0036221894,17.810679428295664,1.2325581395348837,9182,2039977,1.7674418604651163,95.16279069767442,0.0017782603,0.0017782603,0.0,0.95653963,8237.914492845535,0.12990339892665476
0.0051867026,17.33082681070936,1.4565217391304348,9228,2049952,1.5434782608695652,91.43478260869566,0.002345405,0.002345405,0.0,0.9653801,8277.784371137619,0.13902195412294807
0.004829053,17.967932787922557,0.9761904761904762,9270,2059964,2.0238095238095237,97.42857142857143,0.0018946645,0.0018946645,0.0,0.9692983,8318.459369421005,0.131974025974026
0.0034868405,18.522609934412653,0.9,9310,2069964,2.1,97.35,0.001538331,0.001538331,0.0,0.9618701,8358.046139001846,0.1298
0.004330524,18.55734861518367,0.9024390243902439,9351,2079965,2.097560975609756,97.7560975609756,0.0021399232,0.0021399232,0.0,0.9622967,8397.851591348648,0.13034146341463415
0.0031115469,18.394386991174876,0.926829268292683,9392,2089755,2.073170731707317,96.0,0.0015071599,0.0015071599,0.0,0.957768,8438.433170557022,0.133837143512501
