optimgain,Fce,entloss,TimestepsSoFar,TtR,entropy,AttC,meankl,MtR,AttNC,surrgain,EpisodesSoFar,TimeElapsed
0.0012372808,0.19049999999999992,0.0,1269827,142.875,0.25366235,0.35,0.0033712683,26.421080153217115,2.65,0.0012372808,5408,5228.960816383362
0.001711939,0.17389999999999997,0.0,1279827,130.425,0.23388332,0.375,0.004060061,24.401015916217084,2.625,0.001711939,5448,5269.079345464706
0.001502052,0.18559999999999996,0.0,1289827,139.2,0.25117806,0.275,0.0035184703,26.047134241566432,2.725,0.001502052,5488,5309.840316772461
0.0012502389,0.18770000000000003,0.0,1299827,140.775,0.24359137,0.325,0.0035281866,26.143332930941426,2.675,0.0012502389,5528,5350.990655899048
0.0020054358,0.1633,0.0,1309827,122.475,0.20326224,0.4,0.0063128173,22.668195321692178,2.6,0.0020054358,5568,5391.602251291275
0.0010554931,0.188,0.0,1319827,141.0,0.14929864,0.1,0.0051785195,26.43780965666381,2.9,0.0010554931,5608,5432.787090301514
0.0013992182,0.20799999999999996,0.0,1329827,156.0,0.1127338,0.1,0.0048358454,29.042706262332956,2.9,0.0013992182,5648,5473.194283246994
0.0009797196,0.18270000000000003,0.0,1339827,137.025,0.13169713,0.225,0.0027983957,25.415363247572827,2.775,0.0009797196,5688,5514.030569314957
0.0012952683,0.191,0.0,1349827,143.25,0.15982553,0.15,0.00428736,26.593565699504563,2.85,0.0012952683,5728,5554.35280251503
0.0011703476,0.19890000000000002,0.0,1359827,149.175,0.13204956,0.15,0.0039931103,27.85012098976465,2.85,0.0011703476,5768,5594.735608577728
