Fce,surrgain,EpisodesSoFar,AttNC,entropy,MtR,TimeElapsed,AttC,meankl,TtR,optimgain,entloss,TimestepsSoFar
0.13921951219512196,0.0032415139,7271,0.975609756097561,0.08559807,19.290533574176678,4877.713442564011,0.024390243902439025,0.006268077,34.80487804878049,0.0032415139,0.0,1549910
0.1357073170731707,0.0039376975,7312,0.975609756097561,0.10890219,19.121018541692237,4908.324421405792,0.024390243902439025,0.0062961825,33.926829268292686,0.0039376975,0.0,1559911
0.13063636363636366,0.0026843047,7356,0.9090909090909091,0.104995005,18.20550966364811,4939.978615283966,0.09090909090909091,0.005450608,32.65909090909091,0.0026843047,0.0,1569915
0.13853658536585367,0.0044236,7397,0.975609756097561,0.10476683,19.954418040993943,4970.971163511276,0.024390243902439025,0.005925112,34.63414634146341,0.0044236,0.0,1579916
0.12552380952380954,0.0025680596,7439,0.9523809523809523,0.12588196,17.887913827190843,5002.354572057724,0.047619047619047616,0.004108928,31.38095238095238,0.0025680596,0.0,1589918
0.12897560975609756,0.0049851374,7480,0.975609756097561,0.097812906,18.122807898857612,5034.059321641922,0.024390243902439025,0.0066880006,32.24390243902439,0.0049851374,0.0,1599919
0.1263809523809524,0.004000285,7522,0.9523809523809523,0.13500197,18.10560259217703,5064.753242969513,0.047619047619047616,0.0063404758,31.595238095238095,0.004000285,0.0,1609921
0.1268837209302326,0.0027487068,7565,0.9302325581395349,0.124504246,18.17322268858411,5096.907542228699,0.06976744186046512,0.004095455,31.72093023255814,0.0027487068,0.0,1619924
0.13824390243902443,0.0039586904,7606,0.975609756097561,0.10391241,19.610081726950824,5127.4689157009125,0.024390243902439025,0.006725806,34.5609756097561,0.0039586904,0.0,1629925
0.13873170731707318,0.0018306946,7647,0.975609756097561,0.098720305,19.74789685556241,5159.905081272125,0.024390243902439025,0.0028147972,34.68292682926829,0.0018306946,0.0,1639926
0.1270476190476191,0.005173413,7689,0.9523809523809523,0.10487779,18.110566086127147,5191.390927553177,0.047619047619047616,0.0063658743,31.761904761904763,0.005173413,0.0,1649928
0.13,0.0029586228,7731,0.9523809523809523,0.10109251,18.027919648202403,5222.236527681351,0.047619047619047616,0.005372601,32.5,0.0029586228,0.0,1659930
0.1361979790654011,0.0047225067,7775,0.8636363636363636,0.09888555,18.62235886051143,5254.470150470734,0.13636363636363635,0.009165981,32.45454545454545,0.0047225067,0.0,1669886
0.1508323710652634,0.003995131,7824,0.6938775510204082,0.113552526,18.278233859852786,5285.179201602936,0.30612244897959184,0.0059610154,31.816326530612244,0.003995131,0.0,1679963
0.15413174364090157,0.0043486087,7865,0.926829268292683,0.11257166,21.224055265748486,5317.377005815506,0.07317073170731707,0.0067440444,37.36585365853659,0.0043486087,0.0,1689892
0.14854813198355343,0.003710286,7908,0.9069767441860465,0.117556214,20.391871920203485,5348.819123983383,0.09302325581395349,0.0066779037,35.51162790697674,0.003710286,0.0,1699992
0.15214736842105261,0.0038949542,7948,0.975,0.12256543,21.139561532723,5380.438664197922,0.025,0.0054525957,37.425,0.0038949542,0.0,1709837
0.14617893217893216,0.0014801766,7990,0.9523809523809523,0.108412795,20.01304053665371,5412.057664394379,0.047619047619047616,0.0034297374,35.76190476190476,0.0014801766,0.0,1719871
0.14284496421343312,0.0030915283,8034,0.8863636363636364,0.047807693,19.8395061019507,5442.760717630386,0.11363636363636363,0.0068821516,34.97727272727273,0.0030915283,0.0,1729912
0.14870397643593525,0.004012581,8076,0.9285714285714286,0.02555299,20.738490719640044,5474.513779163361,0.07142857142857142,0.00756244,36.5,0.004012581,0.0,1739761
