EpisodesSoFar,MtR,meankl,TimeElapsed,AttNC,Fce,TimestepsSoFar,entloss,surrgain,optimgain,AttC,entropy,TtR
1026,17.04125524859452,0.011408385,2413.247905731201,4.275,0.11960000000000001,239945,0.0,0.001302318,0.001302318,5.725,1.7703425,299.0
1067,21.707627337496646,0.010281893,2516.8379554748535,3.2439024390243905,0.1542910008410429,249974,0.0,0.00021937942,0.00021937942,6.7560975609756095,1.76265,378.2926829268293
1113,29.830238928152006,0.0026565553,2619.4102070331573,3.347826086956522,0.21599916912657224,259921,0.0,0.0004989041,0.0004989041,6.6521739130434785,1.7456818,513.9130434782609
1154,24.300875777887025,0.0066699516,2721.2498412132263,2.6341463414634148,0.17271544715447154,269835,0.0,0.0008944766,0.0008944766,7.365853658536586,1.7636743,418.0487804878049
1194,19.4673090886899,0.0076636486,2824.076421022415,4.025,0.13490000000000005,279835,0.0,0.0026078979,0.0026078979,5.975,1.7758785,337.25
1235,18.19316582281995,0.013164303,2924.1041095256805,4.682926829268292,0.1268165429480382,289858,0.0,0.0011479931,0.0011479931,5.317073170731708,1.7757679,314.6341463414634
1275,16.993010739654892,0.003937648,3017.8565707206726,4.325,0.11880000000000004,299858,0.0,0.00018703735,0.00018703735,5.675,1.7228225,297.0
1315,17.145074823493808,0.0025501477,3121.226059436798,4.725,0.12080000000000002,309858,0.0,0.000108008346,0.000108008346,5.275,1.709395,302.0
1355,15.778798199098603,0.0016372156,3209.532017469406,4.975,0.11040000000000003,319858,0.0,7.071793e-05,7.071793e-05,5.025,1.7330782,276.0
1395,16.082302916804647,0.007050448,3315.4703624248505,4.925,0.11240000000000001,329858,0.0,0.00013858185,0.00013858185,5.075,1.7636272,281.0
1435,17.263657093488035,0.010274043,3410.8511538505554,4.85,0.11950000000000005,339858,0.0,5.1162566e-05,5.1162566e-05,5.15,1.7834475,298.75
1475,16.669892004169903,0.009852095,3514.4456508159637,5.0,0.11600000000000003,349858,0.0,0.00026228806,0.00026228806,5.0,1.8039197,290.0
1515,17.340824445488803,0.0013519626,3613.1709349155426,5.275,0.12060000000000001,359858,0.0,1.7858963e-05,1.7858963e-05,4.725,1.8159097,301.5
1555,17.02141263040807,0.0057494934,3718.0454466342926,4.375,0.11960000000000001,369858,0.0,0.00011753357,0.00011753357,5.625,1.8840413,299.0
1595,17.723473505828515,0.007820663,3811.5213718414307,5.025,0.1236,379858,0.0,0.00016649117,0.00016649117,4.975,1.9704185,309.0
1635,17.778737263984436,0.0047710706,3915.76714015007,4.525,0.12490000000000001,389858,0.0,6.7162626e-05,6.7162626e-05,5.475,2.0213253,312.25
1675,18.448919652350593,0.0025713101,4012.303666114807,4.2,0.1306,399858,0.0,2.0795516e-05,2.0795516e-05,5.8,2.025276,326.5
1715,17.922897100214374,0.005404299,4115.862858533859,4.5,0.12610000000000002,409858,0.0,0.00015054955,0.00015054955,5.5,2.0543308,315.25
1755,17.833357155257993,0.002762034,4211.68178319931,4.85,0.12360000000000004,419858,0.0,9.4091876e-05,9.4091876e-05,5.15,2.067014,309.0
1796,19.490446644710655,0.014312976,4316.419801235199,3.5121951219512195,0.1393859397417504,429875,0.0,5.683327e-05,5.683327e-05,6.487804878048781,2.0563989,345.1219512195122
1838,28.884359655678036,0.0022514563,4415.012852907181,3.857142857142857,0.20401473181865337,439919,0.0,0.00011076919,0.00011076919,6.142857142857143,2.0371118,492.3809523809524
1882,23.71912280607777,0.007262795,4520.141231536865,3.409090909090909,0.17614350400557297,449850,0.0,1.7328492e-05,1.7328492e-05,6.590909090909091,2.0281663,409.3181818181818
1932,31.7234100039535,0.0032410263,4613.097810983658,3.5,0.23661702769203302,459819,0.0,0.0011453156,0.0011453156,6.5,2.0210054,537.2
1976,26.962906324436332,0.004782097,4715.97976899147,3.6136363636363638,0.1956224281087131,469782,0.0,0.0001843274,0.0001843274,6.386363636363637,2.0270605,463.1818181818182
2030,28.0631151789895,0.0039149346,4816.062864303589,2.685185185185185,0.22843936088289232,479836,0.0,0.0013458942,0.0013458942,7.314814814814815,2.0243826,473.3333333333333
2075,25.08284789871641,0.005956648,4918.311598062515,2.7333333333333334,0.18741335772673828,489916,0.0,0.0005031787,0.0005031787,7.266666666666667,2.092661,433.77777777777777
2124,24.969498969147523,0.003644633,5015.165987253189,2.2857142857142856,0.19230208500920942,499804,0.0,0.00011070099,0.00011070099,7.714285714285714,2.1428578,419.38775510204084
2185,24.32078093099371,0.005494036,5116.17678976059,2.0327868852459017,0.21833512465534372,509995,0.0,0.0012609906,0.0012609906,7.967213114754099,2.1429088,407.21311475409834
2229,27.03892996911961,0.0036866132,5214.247742176056,3.522727272727273,0.20001268418064858,519998,0.0,0.0003918811,0.0003918811,6.4772727272727275,2.1946948,460.45454545454544
2276,26.34323870444875,0.0033518183,5314.002187490463,2.872340425531915,0.2022168778281455,529968,0.0,0.00025351258,0.00025351258,7.127659574468085,2.231811,448.0851063829787
2327,30.393842724217617,0.0050442293,5409.726002216339,2.9607843137254903,0.23655420817081932,539793,0.0,0.00071963685,0.00071963685,7.03921568627451,2.2292485,514.3137254901961
2372,25.205797657090397,0.0011857034,5510.650944232941,2.688888888888889,0.17828004281007376,549817,0.0,0.00025478547,0.00025478547,7.311111111111111,2.2586582,432.6666666666667
2419,26.121447954371398,0.008002393,5603.458739519119,2.6808510638297873,0.19363626470210715,559926,0.0,0.0002708429,0.0002708429,7.319148936170213,2.2995324,442.97872340425533
2460,22.07408369243505,0.0066283653,5700.856699466705,3.073170731707317,0.15746341463414634,569951,0.0,0.0017778076,0.0017778076,6.926829268292683,2.3150654,387.0731707317073
2500,20.480116880654272,0.013770017,5791.084399461746,4.525,0.1423,579951,0.0,0.0005568176,0.0005568176,5.475,2.3101811,355.75
2540,20.02224649803488,0.0023246182,5885.90460896492,4.025,0.14210000000000003,589951,0.0,6.857147e-05,6.857147e-05,5.975,2.297269,355.25
2580,20.03940139193895,0.001630263,5983.160527229309,4.475,0.1397,599951,0.0,5.646286e-05,5.646286e-05,5.525,2.2803626,349.25
2620,19.727518415177308,0.0019419292,6079.567467689514,4.2,0.13910000000000003,609951,0.0,2.041977e-05,2.041977e-05,5.8,2.2612593,347.75
2660,19.991637221914406,0.0019407148,6179.574244022369,3.875,0.13880000000000003,619951,0.0,2.5736084e-05,2.5736084e-05,6.125,2.2498493,347.0
2700,19.324600373861287,0.0024711846,6276.885556936264,4.3,0.1379,629951,0.0,2.7306824e-05,2.7306824e-05,5.7,2.2361128,344.75
2740,20.036854034107368,0.00060559064,6377.196181774139,4.05,0.1386,639951,0.0,4.920181e-05,4.920181e-05,5.95,2.2571955,346.5
2780,19.900909371484083,0.007761358,6475.473877191544,4.175,0.1378,649951,0.0,7.673947e-05,7.673947e-05,5.825,2.3459728,344.5
2820,20.357059094319418,8.72481e-05,6569.95335316658,3.675,0.14289999999999997,659951,0.0,2.7886428e-05,2.7886428e-05,6.325,2.347048,357.25
2861,19.604689875245036,0.00782102,6667.514595031738,4.2682926829268295,0.13945480631276905,669968,0.0,0.00012867797,0.00012867797,5.7317073170731705,2.3835177,341.9512195121951
2901,19.986221615039884,0.008487832,6763.279391050339,4.275,0.1367,679968,0.0,0.00010323887,0.00010323887,5.725,2.4178448,341.75
2941,21.045802807337477,0.0043771407,6857.083880662918,4.1,0.1463,689968,0.0,0.00013323211,0.00013323211,5.9,2.4498367,365.75
2983,21.42061573696604,0.00822688,6955.109853029251,3.8095238095238093,0.1520680272108844,699988,0.0,0.00024799796,0.00024799796,6.190476190476191,2.4581223,371.9047619047619
3027,25.959107282903915,0.0018890027,7051.355140447617,3.1363636363636362,0.19245323378064774,709851,0.0,6.826508e-05,6.826508e-05,6.863636363636363,2.4458978,447.04545454545456
3071,22.56739322576611,0.0010241861,7147.055122375488,2.8636363636363638,0.16590209790209787,719931,0.0,7.0668946e-05,7.0668946e-05,7.136363636363637,2.4631102,390.90909090909093
3111,21.754176458444864,0.0061470293,7242.832459926605,3.375,0.1498,729931,0.0,0.00028503814,0.00028503814,6.625,2.4907224,374.5
3151,20.782790915004334,0.0025011655,7342.758780002594,3.75,0.14420000000000002,739931,0.0,0.00012174934,0.00012174934,6.25,2.489472,360.5
3192,19.732675941557638,0.001678489,7439.429559469223,3.975609756097561,0.14406754221388374,749944,0.0,4.2267607e-06,4.2267607e-06,6.024390243902439,2.463615,346.8292682926829
3232,21.483301211956835,0.0019912554,7540.405816555023,4.75,0.14990000000000003,759944,0.0,7.71965e-06,7.71965e-06,5.25,2.4731462,374.75
3272,19.658422637161863,0.007772418,7635.563165664673,4.05,0.13710000000000003,769944,0.0,6.015045e-05,6.015045e-05,5.95,2.4770756,342.75
3312,21.462780552228242,0.0027521478,7737.10795044899,3.675,0.14909999999999998,779944,0.0,5.22921e-05,5.22921e-05,6.325,2.47439,372.75
3352,20.543409507943373,0.0063170423,7840.523360967636,4.05,0.1442,789944,0.0,4.783325e-05,4.783325e-05,5.95,2.473137,360.5
3392,20.4724401236156,0.010777666,7937.639122724533,4.825,0.13970000000000005,799944,0.0,0.0001847464,0.0001847464,5.175,2.5384598,349.25
3432,20.890479032836556,0.0022136492,8039.284279823303,3.725,0.14539999999999997,809944,0.0,2.0033722e-05,2.0033722e-05,6.275,2.5327227,363.5
3472,21.47248515608652,0.003296098,8139.223012447357,4.15,0.1495,819944,0.0,6.816586e-05,6.816586e-05,5.85,2.5521536,373.75
3512,21.013120294144137,0.00032474173,8238.2949655056,4.15,0.14500000000000002,829944,0.0,2.6319274e-05,2.6319274e-05,5.85,2.56543,362.5
3552,20.69229933852811,0.008933196,8336.294738531113,4.225,0.142,839944,0.0,8.215714e-06,8.215714e-06,5.775,2.6629953,355.0
3592,21.53927789401858,0.008933204,8432.84412407875,4.075,0.1502,849944,0.0,2.6661071e-05,2.6661071e-05,5.925,2.7606125,375.5
3633,21.39242216624961,0.008932625,8531.406130313873,3.8780487804878048,0.15426164079822619,859955,0.0,7.135239e-06,7.135239e-06,6.121951219512195,2.8581772,369.7560975609756
3673,21.53320795210113,0.008933102,8627.972447156906,3.65,0.15070000000000003,869955,0.0,1.4618073e-05,1.4618073e-05,6.35,2.955804,376.75
3714,21.192926671457176,0.008933196,8723.51449251175,3.341463414634146,0.15105691056910567,879970,0.0,4.273224e-06,4.273224e-06,6.658536585365853,3.053382,370.0
3754,21.404065543005665,0.008933102,8816.902087688446,3.8,0.15120000000000003,889970,0.0,1.326294e-06,1.326294e-06,6.2,3.1509612,378.0
3794,22.324750216494895,0.008932931,8909.440674304962,4.175,0.1554,899970,0.0,7.743416e-06,7.743416e-06,5.825,3.24854,388.5
3835,21.566315015167376,0.0089325905,8995.68827009201,3.292682926829268,0.154484052532833,909983,0.0,2.0137024e-06,2.0137024e-06,6.7073170731707314,3.3461688,377.3170731707317
3875,22.59339160667129,0.008926835,9085.636399745941,3.625,0.16160270270270274,919770,0.0,4.058075e-06,4.058075e-06,6.375,3.4436789,398.25
