EpisodesSoFar,MtR,optimgain,surrgain,AttNC,entloss,Fce,TimeElapsed,TimestepsSoFar,TtR,meankl,AttC,entropy
4115,18.55259973808817,0.0046332795,0.0046332795,0.851063829787234,0.0,0.13825298500763084,2422.9509251117706,719871,32.212765957446805,0.008820454,0.14893617021276595,0.24670886
4156,21.486615088962456,0.003167325,0.003167325,0.9512195121951219,0.0,0.1511287867018798,2455.6031222343445,729779,37.53658536585366,0.0076201158,0.04878048780487805,0.283722
4197,20.317574100346008,0.003801651,0.003801651,0.975609756097561,0.0,0.14535312831389188,2486.0463168621063,739802,36.09756097560975,0.007951948,0.024390243902439025,0.3354222
4244,18.39591162337798,0.0016560074,0.0016560074,0.851063829787234,0.0,0.15275068194217128,2518.734832763672,749847,32.659574468085104,0.0055472115,0.14893617021276595,0.34876657
4298,16.459499438980856,0.0026594033,0.0026594033,0.7222222222222222,0.0,0.1240783467134408,2550.8550441265106,759904,28.64814814814815,0.0094698705,0.2777777777777778,0.3053092
4344,17.43079373485625,0.0019676483,0.0019676483,0.8695652173913043,0.0,0.12931457800511512,2582.2564373016357,769952,31.043478260869566,0.008826688,0.13043478260869565,0.24686572
4391,17.38841988636301,0.0018716766,0.0018716766,0.851063829787234,0.0,0.12161702127659575,2614.8596410751343,779961,30.404255319148938,0.009043684,0.14893617021276595,0.19705777
4433,19.812429722668714,0.0039319214,0.0039319214,0.9523809523809523,0.0,0.1384761904761905,2645.2615296840668,789963,34.61904761904762,0.010922107,0.047619047619047616,0.17476644
4476,18.78161978890355,0.0034137208,0.0034137208,0.9302325581395349,0.0,0.13330232558139532,2678.606822013855,799968,33.325581395348834,0.0064578736,0.06976744186046512,0.21014392
4518,18.876779171056498,0.0017629333,0.0017629333,0.9523809523809523,0.0,0.13114285714285714,2710.1124970912933,809970,32.785714285714285,0.0036305957,0.047619047619047616,0.19688419
4562,18.55304406940022,0.0020810615,0.0020810615,0.9090909090909091,0.0,0.1319090909090909,2740.7079775333405,819974,32.97727272727273,0.0062830425,0.09090909090909091,0.18155712
4609,16.367913054850902,0.0019164612,0.0019164612,0.851063829787234,0.0,0.1158297872340426,2773.9375603199005,829981,28.95744680851064,0.0067690834,0.14893617021276595,0.16710718
4652,17.523392493804245,0.0029005066,0.0029005066,0.9302325581395349,0.0,0.12288372093023257,2804.4656567573547,839984,30.72093023255814,0.006662114,0.06976744186046512,0.16555801
4700,15.886887988921652,0.0027581344,0.0027581344,0.8333333333333334,0.0,0.11316666666666668,2837.527936935425,849992,28.291666666666668,0.0068077226,0.16666666666666666,0.13986708
4743,18.222347661348834,0.0026982164,0.0026982164,0.9302325581395349,0.0,0.12827906976744188,2868.715128660202,859995,32.06976744186046,0.007786703,0.06976744186046512,0.10762318
4786,19.082677497151877,0.0021656707,0.0021656707,0.9069767441860465,0.0,0.13719892449457324,2899.4321324825287,869967,33.604651162790695,0.008257556,0.09302325581395349,0.059333906
4830,19.544711147706753,0.0028415504,0.0028415504,0.8636363636363636,0.0,0.14069996869926016,2931.28360414505,879827,34.02272727272727,0.007557408,0.13636363636363635,0.04808425
4871,21.1118052595043,0.002977866,0.002977866,0.975609756097561,0.0,0.1473170731707317,2962.2108430862427,889828,36.829268292682926,0.007172629,0.024390243902439025,0.040241282
4912,20.05434318089404,0.0015355652,0.0015355652,0.975609756097561,0.0,0.14019512195121955,2993.838523387909,899829,35.048780487804876,0.004519046,0.024390243902439025,0.06508219
4953,20.643837057136125,0.0030131836,0.0030131836,0.975609756097561,0.0,0.14565324257893741,3025.6635704040527,909958,36.02439024390244,0.011712911,0.024390243902439025,0.0092926435
4996,18.937836930333308,0.002724575,0.002724575,0.9302325581395349,0.0,0.13460465116279072,3056.0931725502014,919961,33.651162790697676,0.008468862,0.06976744186046512,-0.031663716
5036,21.11928031411634,0.0031137252,0.0031137252,1.0,0.0,0.1497,3088.887058496475,929961,37.425,0.007995944,0.0,-0.016125655
5077,18.347462419654835,0.0027574429,0.0027574429,0.975609756097561,0.0,0.13160975609756098,3120.078496694565,939962,32.90243902439025,0.007875171,0.024390243902439025,0.010909045
5119,18.625780369905115,0.004357284,0.004357284,0.9523809523809523,0.0,0.15580952380952381,3151.925154209137,949964,33.023809523809526,0.008224353,0.047619047619047616,0.090590365
5159,20.31650744595367,0.0047044978,0.0047044978,1.0,0.0,0.1433,3183.200079202652,959964,35.825,0.008564942,0.0,0.13080317
5200,18.913928537457352,0.0021925338,0.0021925338,0.975609756097561,0.0,0.13404878048780489,3213.7349956035614,969965,33.51219512195122,0.009400735,0.024390243902439025,0.073107414
5245,18.717067821886783,0.0037155773,0.0037155773,0.8666666666666667,0.0,0.13764537636861612,3247.47624874115,979959,32.86666666666667,0.009785475,0.13333333333333333,0.04394002
5286,19.325721928905633,0.0020854538,0.0020854538,0.975609756097561,0.0,0.1373658536585366,3278.568545103073,989960,34.34146341463415,0.0066334624,0.024390243902439025,0.11382734
5330,17.38323869530912,0.0031415827,0.0031415827,0.9090909090909091,0.0,0.12342780748663101,3309.9975669384003,999980,30.545454545454547,0.006721468,0.09090909090909091,0.11616262
5372,18.35486980301192,0.0027100143,0.0027100143,0.9523809523809523,0.0,0.13133333333333333,3341.875330924988,1009982,32.833333333333336,0.0051841047,0.047619047619047616,0.14628537
5415,18.171246658724712,0.004045981,0.004045981,0.9302325581395349,0.0,0.1297674418604651,3372.4211683273315,1019985,32.44186046511628,0.00680825,0.06976744186046512,0.15966095
5461,17.188544246081836,0.002981186,0.002981186,0.8695652173913043,0.0,0.12095652173913043,3405.135485649109,1029993,30.23913043478261,0.009072026,0.13043478260869565,0.14407615
5506,18.72196774800257,0.0021928635,0.0021928635,0.8666666666666667,0.0,0.1371236467236467,3435.6911838054657,1039831,32.888888888888886,0.0044811377,0.13333333333333333,0.14229858
5548,20.065524187246364,0.0031985566,0.0031985566,0.9523809523809523,0.0,0.13980952380952383,3467.092062473297,1049833,34.95238095238095,0.008234218,0.047619047619047616,0.12807941
5592,18.66178971567967,0.0021928078,0.0021928078,0.9090909090909091,0.0,0.13300000000000003,3499.4271726608276,1059837,33.25,0.007324403,0.09090909090909091,0.12773381
5635,19.938252510382352,0.0025550323,0.0025550323,0.9302325581395349,0.0,0.1384186046511628,3530.130232334137,1069840,34.604651162790695,0.009480305,0.06976744186046512,0.05102385
5676,19.931191382871354,0.002824135,0.002824135,0.975609756097561,0.0,0.14029268292682928,3561.834070920944,1079841,35.073170731707314,0.0066168974,0.024390243902439025,0.084815994
5718,18.57088132052985,0.0017819763,0.0017819763,0.9523809523809523,0.0,0.15523809523809523,3592.1663789749146,1089843,32.88095238095238,0.0068222657,0.047619047619047616,0.09439547
5760,18.779239042382915,0.0025250206,0.0025250206,0.9523809523809523,0.0,0.13640303657694963,3623.475958108902,1099913,33.476190476190474,0.0062660417,0.047619047619047616,0.14458196
5802,20.66513256498447,0.0027000778,0.0027000778,0.9285714285714286,0.0,0.148021978021978,3655.435978412628,1109804,35.833333333333336,0.008705569,0.07142857142857142,0.17224301
5853,17.567468546577242,0.0034977004,0.0034977004,0.6078431372549019,0.0,0.14735017683467908,3686.2603170871735,1119910,29.745098039215687,0.0075280783,0.39215686274509803,0.22363946
5907,17.569619748829687,0.0055015413,0.0055015413,0.5925925925925926,0.0,0.14771164317213956,3717.6795229911804,1129844,29.685185185185187,0.008909983,0.4074074074074074,0.25520182
5952,18.907655964350592,0.002227268,0.002227268,0.8666666666666667,0.0,0.14207141005109436,3748.585526227951,1139792,32.8,0.008661381,0.13333333333333333,0.24589539
5997,17.554480993201924,0.0020128768,0.0020128768,0.8888888888888888,0.0,0.1243555555555556,3779.928066253662,1149797,31.08888888888889,0.0049432833,0.1111111111111111,0.27648917
6043,16.95890284292963,0.0013981216,0.0013981216,0.8695652173913043,0.0,0.1271741033986886,3811.4801921844482,1159967,29.5,0.0070423684,0.13043478260869565,0.23492432
6087,18.14553907207051,0.0031294997,0.0031294997,0.9090909090909091,0.0,0.12633333333333335,3842.244835615158,1169985,31.227272727272727,0.007491726,0.09090909090909091,0.2671461
6132,17.747625397121016,0.0023239,0.0023239,0.8888888888888888,0.0,0.1254222222222222,3874.8730261325836,1179992,31.355555555555554,0.006806215,0.1111111111111111,0.28194672
6179,17.80413648464761,0.0005146214,0.0005146214,0.8085106382978723,0.0,0.13893925737970092,3905.615124464035,1189751,31.06382978723404,0.0022722592,0.19148936170212766,0.27224874
6232,16.365000923643816,0.0019001373,0.0019001373,0.7547169811320755,0.0,0.11794297916353869,3936.8609561920166,1199842,28.358490566037737,0.0031375573,0.24528301886792453,0.24240266
6285,17.099142344936016,0.0019743042,0.0019743042,0.7358490566037735,0.0,0.12822512638292283,3968.518208026886,1209870,30.0,0.011070638,0.2641509433962264,0.21328782
6333,18.613484318024096,0.0020076388,0.0020076388,0.8125,0.0,0.13729030981875728,4000.814865589142,1219811,32.604166666666664,0.0054603536,0.1875,0.2191702
6379,18.705375955306398,0.002175589,0.002175589,0.8478260869565217,0.0,0.134246228872783,4032.2228190898895,1229770,32.30434782608695,0.005309062,0.15217391304347827,0.22997876
6426,19.183664277395966,0.0020696884,0.0020696884,0.8085106382978723,0.0,0.14435477170700872,4063.5315792560577,1239807,32.765957446808514,0.005720994,0.19148936170212766,0.22659141
6472,19.42508432250811,0.0029145423,0.0029145423,0.8478260869565217,0.0,0.14330237393209783,4096.297721147537,1249814,33.76086956521739,0.0079324385,0.15217391304347827,0.15888982
6524,17.768528452862114,0.004091899,0.004091899,0.7307692307692307,0.0,0.1392181244257291,4126.935159921646,1259938,31.0,0.008601521,0.2692307692307692,0.1577855
6569,19.224441545631787,0.0025684074,0.0025684074,0.8888888888888888,0.0,0.13688888888888892,4159.068199634552,1269945,34.22222222222222,0.0072478056,0.1111111111111111,0.13274385
6613,18.646811456315433,0.001910054,0.001910054,0.9090909090909091,0.0,0.13179338842975205,4190.951977491379,1279971,32.45454545454545,0.0063964063,0.09090909090909091,0.12768784
6659,16.85367413408487,0.0024644427,0.0024644427,0.8695652173913043,0.0,0.14173913043478265,4221.621290922165,1289977,30.02173913043478,0.0067111673,0.13043478260869565,0.09909796
6701,18.63415036116392,0.003341658,0.003341658,0.9523809523809523,0.0,0.13600000000000007,4254.576898097992,1299993,32.88095238095238,0.008056598,0.047619047619047616,0.16210696
6744,19.108174109951644,0.0035154526,0.0035154526,0.9069767441860465,0.0,0.14141771990612628,4285.3039700984955,1309921,33.348837209302324,0.008505859,0.09302325581395349,0.18271437
6791,18.378838160972975,0.0017368492,0.0017368492,0.7872340425531915,0.0,0.13747712111560542,4316.934135913849,1319761,32.340425531914896,0.007899315,0.2127659574468085,0.22871394
6845,16.62891839617499,0.0037292275,0.0037292275,0.7407407407407407,0.0,0.12642775334893727,4348.212868452072,1329999,28.833333333333332,0.007645376,0.25925925925925924,0.27090597
6899,15.740960646441351,0.0036951646,0.0036951646,0.7222222222222222,0.0,0.12113834168021359,4379.070803642273,1339930,27.27777777777778,0.008930441,0.2777777777777778,0.22395359
6944,17.997034295589348,0.002955463,0.002955463,0.8888888888888888,0.0,0.1248888888888889,4412.462710142136,1349951,31.22222222222222,0.0054739425,0.1111111111111111,0.23393288
6987,17.804934096417266,0.001092839,0.001092839,0.9302325581395349,0.0,0.1266976744186047,4443.0266654491425,1359960,31.674418604651162,0.007613127,0.06976744186046512,0.18086964
7032,17.633525059721343,0.0021280448,0.0021280448,0.8888888888888888,0.0,0.12337777777777781,4475.095496177673,1369965,30.844444444444445,0.00727637,0.1111111111111111,0.11343464
7076,17.672503771338484,0.0019588273,0.0019588273,0.8863636363636364,0.0,0.12697183098591552,4506.045132160187,1379796,31.227272727272727,0.0073596183,0.11363636363636363,0.057627257
7117,18.107608274786983,0.0023814843,0.0023814843,0.975609756097561,0.0,0.12673170731707317,4537.048363208771,1389797,31.682926829268293,0.0050136857,0.024390243902439025,0.053614177
7159,17.42209993590888,0.0022615113,0.0022615113,0.9523809523809523,0.0,0.1241645021645022,4570.431348323822,1399831,30.571428571428573,0.007440657,0.047619047619047616,0.055248156
7199,18.659584460672114,0.002935202,0.002935202,1.0,0.0,0.1337,4601.236144065857,1409831,33.425,0.008853941,0.0,0.07831573
7249,17.95188170689335,0.0026805406,0.0026805406,0.66,0.0,0.1504017197737065,4633.170170307159,1419950,30.38,0.0056922073,0.34,0.078579254
7296,18.964358526279195,0.0046837083,0.0046837083,0.8297872340425532,0.0,0.14802079709340016,4664.282264709473,1429972,33.276595744680854,0.010008962,0.1702127659574468,0.040340576
7336,19.9858317678342,0.002520571,0.002520571,1.0,0.0,0.14129999999999998,4694.886734724045,1439972,35.325,0.005366955,0.0,0.056642815
7377,18.88736299366168,0.0028434151,0.0028434151,0.9512195121951219,0.0,0.13684302689180738,4728.945820093155,1449762,33.68292682926829,0.0076542045,0.04878048780487805,0.13120806
7420,18.031047161590443,0.0025777686,0.0025777686,0.9302325581395349,0.0,0.1286511627906977,4759.625310897827,1459767,32.16279069767442,0.008308047,0.06976744186046512,0.07528564
7467,17.499733256653375,0.0023460938,0.0023460938,0.851063829787234,0.0,0.1260269214068606,4791.850293397903,1469824,30.80851063829787,0.0056533497,0.14893617021276595,0.05105388
7515,16.035788323919515,0.0024463516,0.0024463516,0.8333333333333334,0.0,0.11265873015873018,4823.514415979385,1479852,27.9375,0.008323718,0.16666666666666666,0.0030107498
7557,18.78052780406263,0.0021057525,0.0021057525,0.9523809523809523,0.0,0.1544761904761905,4854.179923057556,1489866,32.69047619047619,0.00490595,0.047619047619047616,-0.01097856
7600,18.519404937114697,0.0030602415,0.0030602415,0.9302325581395349,0.0,0.13190697674418603,4886.8771505355835,1499869,32.97674418604651,0.0063951546,0.06976744186046512,-0.022794992
7641,20.349566443686076,0.0033605576,0.0033605576,0.9512195121951219,0.0,0.14247722286746678,4917.943373680115,1509809,35.41463414634146,0.009282205,0.04878048780487805,0.008255435
7690,17.569010420184153,0.0043450715,0.0043450715,0.7959183673469388,0.0,0.13499716053060953,4949.793468236923,1519997,30.510204081632654,0.0070726615,0.20408163265306123,0.013541193
7734,19.2205281391744,0.0032056961,0.0032056961,0.8863636363636364,0.0,0.1361450676982592,4982.782200336456,1529798,33.54545454545455,0.0071195527,0.11363636363636363,0.024331797
7782,16.461664310121588,0.0031797185,0.0031797185,0.8333333333333334,0.0,0.1256121732761993,5013.192502498627,1539912,29.083333333333332,0.007903309,0.16666666666666666,-0.0328617
7825,20.12048780455483,0.0015351303,0.0015351303,0.9302325581395349,0.0,0.14334883720930233,5046.594266176224,1549915,35.83720930232558,0.008045787,0.06976744186046512,-0.06450918
7866,21.053813990922922,0.004102166,0.004102166,0.975609756097561,0.0,0.14653658536585365,5077.162091732025,1559916,36.63414634146341,0.008474673,0.024390243902439025,-0.0313866
7911,19.322546590936657,0.0037322755,0.0037322755,0.8666666666666667,0.0,0.14113254037032769,5109.1606249809265,1569916,33.84444444444444,0.007570392,0.13333333333333333,-0.088191725
7954,19.632443343243697,0.0037146707,0.0037146707,0.9302325581395349,0.0,0.13953028997990238,5142.265943527222,1579999,34.348837209302324,0.009170035,0.06976744186046512,-0.14638008
