MpbtN,Tmt,Tbt,TtR,entropy,TimestepsSoFar,AttNC,Ptt,AttC,TimeElapsed,surrgain,meankl,Tmc,MpbtA,entloss,EpisodesSoFar,optimgain,MtR
86.683505054219,83.37837837837837,341517.8378378378,-72.27027027027027,0.22829056,159868,0.8378378378378378,81.11284685616819,0.16216216216216217,10503.515634536743,0.007366295,0.0026730562,20.486486486486488,13.316494945781018,0.0,4060,0.007366295,-40.13377502443448
86.71229657304019,82.89473684210526,339536.84210526315,-71.89473684210526,0.24440634,169841,0.631578947368421,80.61806380371844,0.3684210526315789,10624.18413734436,0.0068138014,0.0022537524,21.026315789473685,13.287703426959835,0.0,4098,0.0068138014,-40.06222566913405
87.32295513250665,82.9047619047619,339577.90476190473,-72.42857142857143,0.20697507,179823,0.47619047619047616,80.63863807842631,0.5238095238095238,10751.137649059296,0.009596538,0.0046730577,21.0,12.677044867493331,0.0,4140,0.009596538,-42.262097062212426
89.12234032383753,83.15384615384616,340598.1538461539,-74.12820512820512,0.2094691,189927,0.48717948717948717,80.81789704704049,0.5128205128205128,10869.306963920593,0.0067460355,0.0028556378,20.82051282051282,10.877659676162459,0.0,4179,0.0067460355,-40.585184672361414
88.05348717790224,83.60526315789474,342447.15789473685,-73.63157894736842,0.21284841,199960,0.7631578947368421,81.2389080903002,0.23684210526315788,10989.718819856644,0.005729227,0.002353163,20.36842105263158,11.946512822097747,0.0,4217,0.005729227,-40.874971214890955
89.01837865499684,82.86842105263158,339429.05263157893,-73.78947368421052,0.23880082,209947,0.631578947368421,80.55157617318045,0.3684210526315789,11105.230131864548,0.007448581,0.00279791,21.105263157894736,10.981621345003166,0.0,4255,0.007448581,-40.56278239247361
87.22300344791398,83.925,343756.8,-73.225,0.20034584,219755,0.6,81.67064616028058,0.4,11228.529829025269,0.008045061,0.0031668928,19.875,12.776996552086006,0.0,4295,0.008045061,-41.82924799111716
87.8834528556155,82.78378378378379,339082.3783783784,-72.78378378378379,0.18798703,229840,0.7027027027027027,80.51573752397725,0.2972972972972973,11343.875055551529,0.0052059754,0.003910114,21.135135135135137,12.11654714438449,0.0,4332,0.0052059754,-40.145155511238684
89.36210542451916,83.41666666666667,341674.6666666667,-74.55555555555556,0.20999119,239913,0.8888888888888888,81.06294747493288,0.1111111111111111,11455.626700639725,0.0056862123,0.0026778798,20.555555555555557,10.637894575480829,0.0,4368,0.0056862123,-40.38407950668178
88.61203194335097,82.97222222222223,339854.22222222225,-73.52777777777777,0.2030063,249924,0.9166666666666666,80.7366858226034,0.08333333333333333,11569.990921497345,0.005794739,0.002224551,20.88888888888889,11.387968056649033,0.0,4404,0.005794739,-39.65390402749448
