TimestepsSoFar,MtR,Tbt,MpbtA,EpisodesSoFar,MpbtN,Tmc,surrgain,meankl,AttNC,entloss,Tmt,AttC,Ptt,TtR,optimgain,TimeElapsed,entropy
2689776,-36.01710610994022,335451.89743589744,22.604965886746832,13771,77.39503411325316,22.076923076923077,0.0052658347,0.008832745,0.9230769230769231,0.0,81.8974358974359,0.07692307692307693,79.65291493541577,-63.41025641025641,0.0052658347,37404.147225379944,0.15939309
2699912,-36.765723967020335,333973.85365853657,22.011976297994828,13812,77.98802370200517,22.414634146341463,0.0041655027,0.008904454,0.8292682926829268,0.0,81.53658536585365,0.17073170731707318,79.33414013773671,-63.58536585365854,0.0041655027,37513.833186388016,0.15382926
2709751,-35.61193651594462,337273.2631578947,23.768608782340635,13850,76.23139121765935,21.657894736842106,0.0059936936,0.0090951985,0.9473684210526315,0.0,82.34210526315789,0.05263157894736842,80.04713472864772,-62.78947368421053,0.0059936936,37615.9635283947,0.16467133
2719855,-35.414680312497566,335974.4,23.48739152316724,13890,76.5126084768328,21.95,0.0048003844,0.0086443685,0.7,0.0,82.025,0.3,79.76961942523562,-62.775,0.0048003844,37725.566665410995,0.14159958
2729773,-36.71003701807656,336397.1282051282,22.378196917565603,13929,77.62180308243441,21.871794871794872,0.0039186385,0.0074163056,0.8461538461538461,0.0,82.12820512820512,0.15384615384615385,79.84833692683526,-63.743589743589745,0.0039186385,37833.9511013031,0.1454121
2739949,-35.63298195788614,334191.58974358975,22.90626090908147,13968,77.09373909091856,22.384615384615383,0.0036727258,0.008389464,0.8974358974358975,0.0,81.58974358974359,0.10256410256410256,79.36586367919581,-62.92307692307692,0.0036727258,37940.94173026085,0.15694839
2749784,-34.6752568405542,333215.13513513515,23.701069879293197,14005,76.2989301207068,22.64864864864865,0.0041349516,0.010666967,0.9459459459459459,0.0,81.35135135135135,0.05405405405405406,79.1229779609377,-62.08108108108108,0.0041349516,38046.82013916969,0.15849008
2759988,-37.12223907713125,336171.7073170732,21.432111901508375,14046,78.56788809849162,21.878048780487806,0.005480055,0.009064525,0.9024390243902439,0.0,82.07317073170732,0.0975609756097561,79.8349665785661,-64.48780487804878,0.005480055,38154.167212963104,0.15067907
2769841,-36.1913413651658,335556.92307692306,22.953057996956666,14085,77.04694200304333,22.05128205128205,0.0053817537,0.008850978,0.8205128205128205,0.0,81.92307692307692,0.1794871794871795,79.67627603915031,-63.15384615384615,0.0053817537,38259.352600336075,0.15643826
2779945,-38.0291896795811,334157.3953488372,21.941803900592443,14128,78.05819609940754,22.3953488372093,0.0048817215,0.009228405,0.7441860465116279,0.0,81.5813953488372,0.2558139534883721,79.35667730590387,-63.69767441860465,0.0048817215,38372.42910814285,0.13942838
2789844,-36.11905664340436,338287.58974358975,23.430580575531874,14167,76.56941942446812,21.358974358974358,0.0037959977,0.008218533,0.8717948717948718,0.0,82.58974358974359,0.1282051282051282,80.31611775247536,-63.256410256410255,0.0037959977,38478.37436914444,0.143567
2799831,-36.72581679081039,337762.46153846156,23.169256891145306,14206,76.83074310885469,21.512820512820515,0.0033622985,0.008436535,0.9487179487179487,0.0,82.46153846153847,0.05128205128205128,80.17805737634129,-63.35897435897436,0.0033622985,38587.989131212234,0.14227743
2809987,-35.237963152472744,337704.4210526316,24.1136326330041,14244,75.8863673669959,21.5,0.004062827,0.008737086,0.9210526315789473,0.0,82.44736842105263,0.07894736842105263,80.18398999662622,-62.578947368421055,0.004062827,38694.63288474083,0.14243652
2819904,-36.037353892178295,336734.3157894737,22.268694717939404,14282,77.73130528206059,21.763157894736842,0.00222807,0.007185456,0.9736842105263158,0.0,82.21052631578948,0.02631578947368421,79.9439603304224,-63.921052631578945,0.00222807,38799.54768586159,0.14480878
2829773,-35.330210951471585,335982.7027027027,23.44253026109328,14319,76.55746973890673,21.945945945945947,0.004120216,0.007386228,1.0,0.0,82.02702702702703,0.0,79.7727221086692,-62.78378378378378,0.004120216,38906.704278707504,0.15343307
