Tmc,entloss,surrgain,Ptt,AttC,EpisodesSoFar,TimestepsSoFar,TimeElapsed,meankl,AttNC,MtR,TtR,optimgain,MpbtA,MpbtN,entropy,Tbt,Tmt
48.89230769230769,0.0,0.0026396497,54.88983781534642,4.6923076923076925,12031,1649982,58328.23006892204,0.006266949,5.3076923076923075,-8.893213257587785,-124.0,0.0026396497,78.04505985547843,21.954940144521547,0.2952768,230447.26153846155,56.261538461538464
48.17741935483871,0.0,0.0016886794,55.55380255862697,4.741935483870968,12093,1659851,58682.45944285393,0.0056464695,5.258064516129032,-8.468380511206554,-120.48387096774194,0.0016886794,78.9347062223155,21.065293777684513,0.2953571,233273.8064516129,56.95161290322581
49.40625,0.0,0.0018508362,54.42057723738284,3.703125,12157,1669985,59045.311111688614,0.0053903847,6.296875,-8.736391501787425,-116.875,0.0018508362,79.05450684284968,20.94549315715033,0.28304935,228480.0,55.78125
48.714285714285715,0.0,0.0020215122,55.06798966701367,4.5396825396825395,12220,1679927,59395.651384830475,0.005446382,5.4603174603174605,-8.24492878266005,-116.19047619047619,0.0020215122,79.43170064933213,20.568299350667797,0.28683698,231261.46031746033,56.46031746031746
47.82258064516129,0.0,0.0023274978,55.888505576546855,4.935483870967742,12282,1689928,59755.10165667534,0.005728031,5.064516129032258,-9.212765858320322,-130.32258064516128,0.0023274978,77.3135675885819,22.68643241141807,0.29580835,234727.2258064516,57.306451612903224
48.76190476190476,0.0,0.0015717377,55.00750992191706,4.603174603174603,12345,1699944,60105.840883016586,0.003519228,5.396825396825397,-8.685552357490073,-121.9047619047619,0.0015717377,78.5443990705063,21.455600929493713,0.30028957,230936.38095238095,56.38095238095238
47.71875,0.0,0.0025535272,55.999728154012416,4.703125,12409,1709947,60470.15444278717,0.0063223997,5.296875,-9.009177688741273,-128.59375,0.0025535272,77.98173671511714,22.01826328488285,0.2738807,235264.0,57.4375
49.714285714285715,0.0,0.0018417253,54.14995645697923,4.634920634920635,12472,1719971,60833.51365566254,0.00508517,5.365079365079365,-7.8139537477987,-110.63492063492063,0.0018417253,80.12970940250798,19.870290597491962,0.27179146,227425.52380952382,55.523809523809526
48.703125,0.0,0.00159524,55.084281988011206,5.875,12536,1729959,61186.56891608238,0.0045780046,4.125,-8.891158933418016,-120.625,0.00159524,78.68792644307517,21.312073556924837,0.2775604,231360.0,56.484375
49.21875,0.0,0.0014530664,54.60511456531157,4.921875,12600,1739962,61561.949363708496,0.0036871878,5.078125,-8.11111674329438,-110.15625,0.0014530664,80.29441044701117,19.705589552988833,0.2691006,229312.0,55.984375
48.55555555555556,0.0,0.002188993,55.18892291261731,4.73015873015873,12663,1749953,61915.832713365555,0.00556479,5.26984126984127,-8.449397927801689,-114.76190476190476,0.002188993,79.68508583771529,20.314914162284747,0.29103196,231651.55555555556,56.55555555555556
48.76190476190476,0.0,0.0024647128,55.03710400193324,5.619047619047619,12726,1759941,62268.50020813942,0.004485981,4.380952380952381,-9.155859725110496,-130.95238095238096,0.0024647128,76.91057885021105,23.089421149788947,0.3006002,231196.44444444444,56.44444444444444
