EpisodesSoFar,meankl,MtR,Ptt,Tbt,MpbtA,surrgain,MpbtN,entropy,TtR,entloss,optimgain,AttNC,TimeElapsed,AttC,Tmc,Tmt,TimestepsSoFar
8867,0.005162847,-9.649103511624025,56.079964472517524,235552.50793650793,76.55335548598809,0.0018424025,23.446644514011915,0.28068632,-134.9206349206349,0.0,0.0018424025,4.650793650793651,40586.54469871521,5.349206349206349,47.61904761904762,57.507936507936506,1149843
8930,0.0058120703,-9.017653071655294,54.48258621494527,228790.85714285713,77.79453910238864,0.0023320285,22.205460897611363,0.2901305,-124.44444444444444,0.0,0.0023320285,5.2063492063492065,40953.182965517044,4.7936507936507935,49.34920634920635,55.857142857142854,1159893
8994,0.0058453833,-9.144057780313826,55.16629029114389,231680.0,77.86111839767102,0.0023898727,22.138881602329015,0.28597435,-126.25,0.0,0.0023898727,4.34375,41317.82733798027,5.65625,48.609375,56.5625,1169971
9057,0.0052549522,-9.337977690190833,55.37864371055808,232821.84126984127,76.40132530143032,0.0020633289,23.598674698569663,0.26196593,-137.14285714285714,0.0,0.0020633289,3.5555555555555554,41691.673191547394,6.444444444444445,48.42857142857143,56.84126984126984,1179890
9122,0.0051495275,-9.087514522996354,54.112039532683774,227170.46153846153,77.55939534428734,0.0022803552,22.440604655712658,0.27392134,-124.92307692307692,0.0,0.0022803552,4.446153846153846,42066.71653532982,5.553846153846154,49.738461538461536,55.46153846153846,1189922
9187,0.0066792695,-9.437933919254563,55.25326688527561,232085.66153846154,76.29738428684745,0.0027047012,23.702615713152536,0.2941483,-135.84615384615384,0.0,0.0027047012,3.6307692307692307,42438.405284166336,6.369230769230769,48.52307692307692,56.66153846153846,1199915
9251,0.0056634774,-9.210058634596631,54.79581654902571,230016.0,76.45322451776971,0.0020561442,23.546775482230302,0.28802595,-132.5,0.0,0.0020561442,2.78125,42815.75755882263,7.21875,48.984375,56.15625,1209967
9314,0.0057718335,-8.909493876707378,54.5803283025889,229245.96825396825,77.83510345022901,0.0019681046,22.16489654977099,0.27871472,-124.76190476190476,0.0,0.0019681046,3.9047619047619047,43170.483144283295,6.095238095238095,49.25396825396825,55.96825396825397,1219902
9379,0.006320172,-8.51779076525049,54.34385326774528,228178.70769230768,79.03513406446667,0.0024979003,20.964865935533314,0.25388134,-116.3076923076923,0.0,0.0024979003,4.6,43504.38957810402,5.4,49.49230769230769,55.707692307692305,1229972
9441,0.005367368,-8.55565119208409,53.586657993884515,225147.87096774194,78.32380026138001,0.0021462662,21.67619973861998,0.24143265,-119.35483870967742,0.0,0.0021462662,3.4193548387096775,43825.63411784172,6.580645161290323,50.354838709677416,54.96774193548387,1239902
